num,t,word,value,success,error_type,test
0,0,!mi!,1552,,None,1
1,0,!mi!,0.0109057166419218,True,None,1
2,0,!mi!,0.6204191816559635,True,None,1
3,0,!mi!,!mi!~~~~~~,True,None,1
4,0,!mi!,!mi!,True,None,1
5,0,!mi!,17.791038036346436,,None,1
0,0,!mort!,1762,,None,1
1,0,!mort!,0.01848714536950582,True,None,1
2,0,!mort!,0.028498809489568528,True,None,1
3,0,!mort!,!mOR!~~~~~,True,None,1
4,0,!mort!,!mort!,True,None,1
5,0,!mort!,51.37606644630432,,None,1
0,0,!vague!,1166,,None,1
1,0,!vague!,0.17778436802602265,True,None,1
2,0,!vague!,0.03438154551294179,True,None,1
3,0,!vague!,!vag!~~~~~,True,None,1
4,0,!vague!,!vague!,True,None,1
5,0,!vague!,53.05236864089966,,None,1
0,0,!quartz!,1535,,None,1
1,0,!quartz!,0.04637899059315842,True,None,1
2,0,!quartz!,0.24903294827599395,True,None,1
3,0,!quartz!,!kaR!te!~~,False,None,1
4,0,!quartz!,!quartz!,True,None,1
5,0,!quartz!,99.66102743148804,,None,1
0,0,!quant!,1578,,None,1
1,0,!quant!,0.08587773428721386,True,None,1
2,0,!quant!,0.23717817137541555,True,None,1
3,0,!quant!,!ky!!~~~~~,False,None,1
4,0,!quant!,!quant!,True,None,1
5,0,!quant!,66.4170708656311,,None,1
0,0,!liste!,865,,None,1
1,0,!liste!,0.12859893873024264,True,None,1
2,0,!liste!,0.7520264135350546,False,None,1
3,0,!liste!,!lis!~~~~~,False,None,1
4,0,!liste!,!liste!,True,None,1
5,0,!liste!,40.505274057388306,,None,1
0,0,!perdre!,1938,,None,1
1,0,!perdre!,0.03526514388866919,True,None,1
2,0,!perdre!,0.10972772875428186,True,None,1
3,0,!perdre!,!pERR!~~~~,False,None,1
4,0,!perdre!,!perdre!,True,None,1
5,0,!perdre!,128.90456867218018,,None,1
0,0,!loupe!,1355,,None,1
1,0,!loupe!,0.058494239035922255,True,None,1
2,0,!loupe!,0.1213081774668322,True,None,1
3,0,!loupe!,!lup!~~~~~,True,None,1
4,0,!loupe!,!loupe!,True,None,1
5,0,!loupe!,58.200092792510986,,None,1
0,0,!chambre!,2941,,None,1
1,0,!chambre!,0.030065917514145567,True,None,1
2,0,!chambre!,0.8121252388356965,False,None,1
3,0,!chambre!,!Sama!!~~~,False,None,1
4,0,!chambre!,!chambre!,True,None,1
5,0,!chambre!,336.39998054504395,,None,1
0,0,!ronde!,1355,,None,1
1,0,!ronde!,0.05898397702482991,True,None,1
2,0,!ronde!,0.16426698838085238,True,None,1
3,0,!ronde!,!R&!!~~~~~,False,None,1
4,0,!ronde!,!ronde!,True,None,1
5,0,!ronde!,57.67734169960022,,None,1
0,0,!chose!,1201,,None,1
1,0,!chose!,0.031914314341691244,True,None,1
2,0,!chose!,0.6964178903503415,True,None,1
3,0,!chose!,!SOp!~~~~~,False,None,1
4,0,!chose!,!chose!,True,None,1
5,0,!chose!,55.24213767051697,,None,1
0,0,!sève!,1009,,None,1
1,0,!sève!,0.059144963861947626,True,None,1
2,0,!sève!,0.0242636537416596,True,None,1
3,0,!sève!,!sEv!~~~~~,True,None,1
4,0,!sève!,!sève!,True,None,1
5,0,!sève!,29.86355757713318,,None,1
0,0,!plaindre!,3000,,None,1
1,0,!plaindre!,0.19582704577163268,True,None,1
2,0,!plaindre!,0.8717504933578514,False,None,1
3,0,!plaindre!,!pR5dR!~~~~,False,None,1
4,0,!plaindre!,!plaindre!,True,None,1
5,0,!plaindre!,397.2186255455017,,None,1
0,0,!couple!,1620,,None,1
1,0,!couple!,0.1328209819918472,True,None,1
2,0,!couple!,0.3890200056748079,True,None,1
3,0,!couple!,!kupl!~~~~,True,None,1
4,0,!couple!,!couple!,True,None,1
5,0,!couple!,120.59165239334106,,None,1
0,0,!sol!,2266,,None,1
1,0,!sol!,0.018119872488286736,True,None,1
2,0,!sol!,0.019775874112292258,True,None,1
3,0,!sol!,!sOl~~~~~~,False,None,1
4,0,!sol!,!sol!,True,None,1
5,0,!sol!,33.59962773323059,,None,1
0,0,!lisse!,1023,,None,1
1,0,!lisse!,0.054131860473754186,True,None,1
2,0,!lisse!,0.03921597871048657,True,None,1
3,0,!lisse!,!lis!~~~~~,True,None,1
4,0,!lisse!,!lisse!,True,None,1
5,0,!lisse!,45.3988823890686,,None,1
0,0,!glotte!,1439,,None,1
1,0,!glotte!,0.1959449672095237,True,None,1
2,0,!glotte!,0.05553290232062667,True,None,1
3,0,!glotte!,!glOt!~~~~,True,None,1
4,0,!glotte!,!glotte!,True,None,1
5,0,!glotte!,104.48874044418335,,None,1
0,0,!montre!,1369,,None,1
1,0,!montre!,0.22088802002286556,True,None,1
2,0,!montre!,0.48421718148434084,True,None,1
3,0,!montre!,!m&tR!~~~~,True,None,1
4,0,!montre!,!montre!,True,None,1
5,0,!montre!,92.34405016899109,,None,1
0,0,!cintre!,2037,,None,1
1,0,!cintre!,0.06880480454268073,True,None,1
2,0,!cintre!,0.9241302988468196,False,None,1
3,0,!cintre!,!s5tRe!~~~,False,None,1
4,0,!cintre!,!cintre!,True,None,1
5,0,!cintre!,130.50984025001526,,None,1
0,0,!rang!,1185,,None,1
1,0,!rang!,0.0229101874590438,True,None,1
2,0,!rang!,0.3188040431119405,True,None,1
3,0,!rang!,!Ran!~~~~~,False,None,1
4,0,!rang!,!rang!,True,None,1
5,0,!rang!,55.49169564247131,,None,1
0,0,!âne!,800,,None,1
1,0,!âne!,0.02744960328860226,True,None,1
2,0,!âne!,0.7446177503005527,False,None,1
3,0,!âne!,!aZ!~~~~~~,False,None,1
4,0,!âne!,!âne!,True,None,1
5,0,!âne!,29.186354637145996,,None,1
0,0,!crue!,1269,,None,1
1,0,!crue!,0.02793606050570367,True,None,1
2,0,!crue!,0.6096174971746012,True,None,1
3,0,!crue!,!gRy!~~~~~,False,None,1
4,0,!crue!,!crue!,True,None,1
5,0,!crue!,73.69273257255554,,None,1
0,0,!rame!,833,,None,1
1,0,!rame!,0.05087138527920174,True,None,1
2,0,!rame!,0.06483556090858442,True,None,1
3,0,!rame!,!Ram!~~~~~,True,None,1
4,0,!rame!,!rame!,True,None,1
5,0,!rame!,23.448956727981567,,None,1
0,0,!rire!,896,,None,1
1,0,!rire!,0.0669520314647941,True,None,1
2,0,!rire!,0.03661083951790783,True,None,1
3,0,!rire!,!RiR!~~~~~,True,None,1
4,0,!rire!,!rire!,True,None,1
5,0,!rire!,24.003896474838257,,None,1
0,0,!crainte!,3000,,None,1
1,0,!crainte!,0.12388194349116612,True,None,1
2,0,!crainte!,0.06593686750831973,True,None,1
3,0,!crainte!,!kR5t!t~~~,False,None,1
4,0,!crainte!,!crainte!,True,None,1
5,0,!crainte!,274.853360414505,,None,1
0,0,!phare!,1170,,None,1
1,0,!phare!,0.03327216251028735,True,None,1
2,0,!phare!,0.3788103843006624,True,None,1
3,0,!phare!,!paz!~~~~~,False,None,1
4,0,!phare!,!phare!,True,None,1
5,0,!phare!,50.12445902824402,,None,1
0,0,!sieste!,2312,,None,1
1,0,!sieste!,0.04572402213141076,True,None,1
2,0,!sieste!,0.09099044012416418,True,None,1
3,0,!sieste!,!sjEst!~~~,True,None,1
4,0,!sieste!,!sieste!,True,None,1
5,0,!sieste!,150.77756929397583,,None,1
0,0,!poulpe!,1546,,None,1
1,0,!poulpe!,0.05974085238514438,True,None,1
2,0,!poulpe!,0.8296461608411537,False,None,1
3,0,!poulpe!,!puli!~~~~,False,None,1
4,0,!poulpe!,!poulpe!,True,None,1
5,0,!poulpe!,122.92547059059143,,None,1
