num,t,word,value,success,error_type,test
0,0,!RiR!,1227,,None,1
1,0,!RiR!,0.8693724577462124,True,None,1
2,0,!RiR!,0.8918639798341722,True,None,1
3,0,!RiR!,!RiR!,True,None,1
4,0,!RiR!,!rire!~~~,True,None,1
5,0,!RiR!,36.072076082229614,,None,1
0,0,!nObl!,901,,None,1
1,0,!nObl!,0.8969363135912048,True,None,1
2,0,!nObl!,0.9955777651640116,True,None,1
3,0,!nObl!,!nObl!,True,None,1
4,0,!nObl!,!noble!~~~~,True,None,1
5,0,!nObl!,50.23931670188904,,None,1
0,0,!ni!,2097,,None,1
1,0,!ni!,0.8573671156771654,True,None,1
2,0,!ni!,0.8669574893694202,True,None,1
3,0,!ni!,!ni!,True,None,1
4,0,!ni!,!ni!!~~~,False,None,1
5,0,!ni!,28.56382465362549,,None,1
0,0,!tEN!,3000,,None,1
1,0,!tEN!,0.9534677013870524,True,None,1
2,0,!tEN!,0.2408886053850776,False,None,1
3,0,!tEN!,!tEN!,True,None,1
4,0,!tEN!,!teigne!~,True,None,1
5,0,!tEN!,81.45879912376404,,None,1
0,0,!ROb!,1067,,None,1
1,0,!ROb!,0.8957598697148171,True,None,1
2,0,!ROb!,0.9611449974936338,True,None,1
3,0,!ROb!,!ROb!,True,None,1
4,0,!ROb!,!robe!~~~,True,None,1
5,0,!ROb!,28.539170026779175,,None,1
0,0,!tRE!,3000,,None,1
1,0,!tRE!,0.9200441238708738,True,None,1
2,0,!tRE!,0.9603909808265878,True,None,1
3,0,!tRE!,!tRE!,True,None,1
4,0,!tRE!,!trai!!~~,False,None,1
5,0,!tRE!,78.66222548484802,,None,1
0,0,!kEs!,1864,,None,1
1,0,!kEs!,0.9686939902988264,True,None,1
2,0,!kEs!,0.8713662500659926,True,None,1
3,0,!kEs!,!kEs!,True,None,1
4,0,!kEs!,!caisse!~,True,None,1
5,0,!kEs!,49.07169270515442,,None,1
0,0,!luR!,1542,,None,1
1,0,!luR!,0.9402679366414317,True,None,1
2,0,!luR!,0.8228435189998567,True,None,1
3,0,!luR!,!luR!,True,None,1
4,0,!luR!,!lourd!~~,True,None,1
5,0,!luR!,40.60085153579712,,None,1
0,0,!ty9R!,951,,None,1
1,0,!ty9R!,0.8803167384598853,True,None,1
2,0,!ty9R!,0.97479526560653,True,None,1
3,0,!ty9R!,!ty9R!,True,None,1
4,0,!ty9R!,!tueur!~~~~,True,None,1
5,0,!ty9R!,47.276798486709595,,None,1
0,0,!vOg!,1516,,None,1
1,0,!vOg!,0.9234023219747745,True,None,1
2,0,!vOg!,0.8588099913276244,True,None,1
3,0,!vOg!,!vOg!,True,None,1
4,0,!vOg!,!vogue!~~,True,None,1
5,0,!vOg!,39.88300395011902,,None,1
0,0,!gR5!,1523,,None,1
1,0,!gR5!,0.9377182228429584,True,None,1
2,0,!gR5!,0.8575275920242263,True,None,1
3,0,!gR5!,!gR5!,True,None,1
4,0,!gR5!,!grain!~~,True,None,1
5,0,!gR5!,40.06862831115723,,None,1
0,0,!dOgm!,905,,None,1
1,0,!dOgm!,0.8869953211808198,True,None,1
2,0,!dOgm!,0.995390775441875,True,None,1
3,0,!dOgm!,!dOgm!,True,None,1
4,0,!dOgm!,!dogme!~~~~,True,None,1
5,0,!dOgm!,46.524885416030884,,None,1
0,0,!f&dR!,1330,,None,1
1,0,!f&dR!,0.918961241455971,True,None,1
2,0,!f&dR!,0.9568278142679922,True,None,1
3,0,!f&dR!,!f&dR!,True,None,1
4,0,!f&dR!,!fondre!~~~,True,None,1
5,0,!f&dR!,65.65236639976501,,None,1
0,0,!bEl!,1207,,None,1
1,0,!bEl!,0.8046518171357925,True,None,1
2,0,!bEl!,0.6344061078981356,False,None,1
