word,freq
accompagnee,"10,13"
accompagnees,"2,1"
accompagnement,"2,5"
accompagnent,"4,05"
accompagner,"22,23"
accompagnera,"0,61"
accompagnerai,"0,61"
accompagnerait,"1,22"
accompagnes,"5,61"
accompagnez,"0,95"
accompli,"15,06"
accomplie,"5,61"
accomplies,"1,69"
accomplir,"22,23"
accomplis,"4,32"
accomplissait,"3,78"
accomplissant,"2,36"
accomplisse,"0,95"
accomplissement,"4,26"
accomplit,"4,73"
accord,"124,66"
accorda,"2,97"
accordaient,"2,43"
accordais,"1,55"
accordait,"9,66"
accordant,"1,76"
accorde,"19,6"
accordee,"5,13"
accordees,"1,36"
accordent,"2,5"
accordeon,"4,8"
accordeoniste,"1,42"
accorder,"14,73"
accordes,"1,76"
accordez,"0,81"
accords,"11,49"
accoster,"1,35"
accotement,"1,08"
accouche,"2,3"
accouchement,"3,24"
accoucher,"3,51"
accouda,"2,97"
accoudaient,"0,27"
accoude,"6,49"
accoudee,"2,57"
accouder,"1,42"
accoudes,"1,62"
accoudions,"0,07"
accoudoir,"2,23"
accoudoirs,"2,97"
accoudons,"0,07"
accouplement,"1,69"
accoupler,"0,74"
accouplerait,"0,07"
accouraient,"1,49"
accourait,"2,43"
accourir,"2,84"
accourt,"2,57"
accouru,"1,82"
accourue,"0,47"
accourus,"1,69"
accourut,"1,96"
accoutrement,"2,09"
accoutumance,"1,28"
accoutume,"3,99"
accoutumee,"5,61"
accoutumer,"1,08"
accoutumes,"1,49"
accredites,"0,21"
accro,"0,61"
accroc,"2,57"
accrocha,"5,68"
accrochage,"0,88"
accrochai,"1,01"
accrochaient,"4,73"
accrochais,"1,01"
accrochait,"10,34"
accrochant,"4,79"
accroche,"30,88"
accrochee,"10,81"
accrochees,"6,08"
accrochent,"2,64"
accrocher,"14,32"
accroches,"9,46"
accrochez,"0,27"
accroissement,"1,28"
accroit,"1,76"
accroitre,"3,99"
accroupi,"11,48"
accroupie,"4,86"
accroupir,"2,7"
accroupis,"5,81"
accroupissait,"0,07"
accroupissant,"0,34"
accroupissons,"0,14"
accroupit,"5,27"
accru,"1,76"
accrue,"3,24"
accrus,"0,14"
accueil,"16,22"
accueillaient,"1,08"
accueillait,"5,88"
accueillant,"3,17"
accueillante,"2,09"
accueille,"6,08"
accueillent,"1,76"
accueillera,"0,47"
accueillerait,"0,74"
accueillez,"0,14"
accueilli,"7,91"
accueillie,"2,23"
accueillies,"0,61"
accueillir,"13,99"
accueillirent,"1,49"
accueillis,"3,18"
accueillit,"6,89"
accueillons,"0,07"
acculait,"0,27"
accule,"2,1"
accumulaient,"1,76"
accumulait,"2,57"
accumulant,"1,55"
accumulation,"3,72"
accumule,"4,53"
accumulee,"3,31"
accumulees,"3,04"
accumuler,"3,72"
accumules,"2,5"
accusa,"3,18"
accusaient,"2,09"
accusait,"6,55"
accusant,"2,64"
accusateurs,"1,28"
