,word,pron,freq,len,phlen
27877,jagdgeschwaders,jaktg@Svad@rs,0.67,15,13
27878,jagdgewehr,jaktg@ver,0.17,10,9
27879,jagdgewehre,jaktg@ver@,0.17,11,10
27883,jagdhund,jakthunt,0.17,8,8
27884,jagdhunde,jakthund@,0.17,9,9
27888,jagdrevier,jaktrevi@r,0.5,10,10
27894,jagdtrophaen,jakttrofe@n,0.33,12,11
27898,jagen,jag@n,0.67,5,5
27899,jagens,jag@ns,0.17,6,6
27900,jaguar,jaguar,8.33,6,6
27901,jaguare,jaguar@,0.17,7,7
27904,jaguars,jaguars,0.5,7,7
27905,jahr,jar,579.0,4,3
27906,jahrbuch,jarbux,4.0,8,6
27908,jahrbuches,jarbux@s,0.33,10,8
27909,jahrbuchs,jarbuxs,0.17,9,7
27910,jahrbucher,jarbyC@r,0.33,10,8
27911,jahrbuchern,jarbyC@rn,0.33,11,9
27912,jahre,jar@,691.5,5,4
27913,jahren,jar@n,663.5,6,5
27914,jahres,jar@s,211.33,6,5
27915,jahresabonnement,jar@sabonn@m@nt,0.67,16,15
27919,jahresbeginn,jar@sb@gin,5.5,12,10
27922,jahresbeginns,jar@sb@gins,0.17,13,11
27923,jahresbeitrag,jar@sbaitrak,0.17,13,12
27925,jahresbeitrages,jar@sbaitrag@s,0.17,15,14
27927,jahresbeitrage,jar@sbaitreg@,0.17,14,13
27929,jahrestag,jar@stak,55.33,9,8
27930,jahrestage,jar@stag@,1.5,10,9
27932,jahrestages,jar@stag@s,30.33,11,10
27934,jahreszeit,jar@stsait,11.0,10,10
27935,jahreszeiten,jar@stsait@n,4.5,12,12
27936,jahrgang,jargaN,6.0,8,6
27938,jahrganges,jargaN@s,1.83,10,8
27939,jahrgangs,jargaNs,1.67,9,7
27940,jahrgange,jargeN@,3.0,9,7
27941,jahrgangen,jargeN@n,1.17,10,8
27942,jahrhundert,jarhund@rt,87.17,11,10
27943,jahrhunderte,jarhund@rt@,21.5,12,11
27944,jahrhunderten,jarhund@rt@n,17.67,13,12
27945,jahrhunderts,jarhund@rts,87.83,12,11
27946,jahrmarkt,jarmarkt,0.5,9,8
27948,jahrmarktes,jarmarkt@s,0.17,11,10
27950,jahrmarkte,jarme@rkt@,0.17,10,10
27951,jahrmarkten,jarme@rkt@n,0.17,11,11
27953,jahrtausend,jartauz@nt,2.33,11,10
27954,jahrtausende,jartauz@nd@,8.17,12,11
27955,jahrtausenden,jartauz@nd@n,5.67,13,12
27956,jahrtausends,jartauz@nts,0.83,12,11
27957,jahrzehnt,jartsent,18.67,9,8
27958,jahrzehnte,jartsent@,23.0,10,9
27959,jahrzehnten,jartsent@n,36.83,11,10
27961,jahrzehnts,jartsents,1.83,10,9
27964,jalousie,Zaluzi,0.5,8,6
27965,jalousien,Zaluzi@n,0.33,9,8
27973,jamben,jamb@n,0.17,6,6
27974,jammer,jam@r,4.33,6,5
27977,jammers,jam@rs,0.17,7,6
27980,januar,januar,357.83,6,6
27989,januskopfe,janusk9pf@,0.33,10,10
27991,japan,japan,47.83,5,5
27992,japaner,japan@r,9.5,7,7
27993,japanern,japan@rn,2.67,8,8
27994,japaners,japan@rs,0.17,8,8
27997,japans,japans,10.5,6,6
27998,jargon,Zargo,1.5,6,5
28001,jasager,jazag@r,0.17,7,7
28006,jauche,jaux@,0.5,6,5
28010,jauchzer,jauxts@r,0.17,8,8
28018,jawort,javo@rt,1.0,6,7
28022,jaworts,javo@rtts,0.17,7,9
28023,jazz,dZes,12.5,4,4
28024,jazzband,dZesbant,0.67,8,8
28026,jazzmusik,dZesmuzik,1.0,9,9
28030,jeep,jip,4.33,4,3
28031,jeeps,jips,0.5,5,4
28032,jemand,jemant,0.83,6,6
28038,jenseits,jenzaits,3.67,8,8
28039,jerusalem,jeruzalem,11.67,9,9
28040,jesuit,jezuit,2.83,6,6
28041,jesuiten,jezuit@n,4.83,8,8
28042,jesuitenorden,jezuit@no@rd@n,0.5,13,14
28043,jesuitenordens,jezuit@no@rrd@ns,0.17,14,16
28044,jesuskind,jezuskint,0.33,9,9
28048,jet,dZet,1.67,3,4
28051,jets,jets,0.33,4,4
28052,jetzt,jetst,1.17,5,5
28053,jetztzeit,jetsttsait,0.5,9,10
28057,job,dZop,6.83,3,4
28059,joch,jox,5.5,4,3
28060,joche,jox@,0.17,5,4
28061,jochen,jox@n,12.17,6,5
28063,jochs,joxs,0.17,5,4
28066,jod,jot,0.67,3,3
28072,jodler,jodl@r,0.17,6,6
28073,jodlern,jodl@rn,0.17,7,7
28076,joghurt,jogu@rt,3.5,7,7
28079,johannisbeeren,johanisber@n,1.17,14,12
28082,johannisfeuers,johanisfoy@rs,0.17,14,13
28085,joker,jok@r,0.17,5,5
28088,jolle,jol@,0.17,5,4
28089,jollen,jol@n,0.17,6,5
28095,journal,Zurnal,2.83,7,6
28099,journalismus,Zu@rnalismus,1.5,12,12
28100,journalist,Zu@rnalist,8.83,10,10
28101,journalisten,Zu@rnalist@n,49.83,12,12
28102,journalistik,ju@rnalistik,0.67,12,12
28103,journalistin,ju@rnalistin,1.83,12,12
28107,jubel,jub@l,8.67,5,5
28111,jubeljahres,jub@ljar@s,0.17,11,10
28113,jubels,jub@ls,0.33,6,6
28114,jubilar,jubilar,3.17,7,7
28115,jubilare,jubilar@,0.17,8,8
28118,jubilarin,jubilarin,0.83,9,9
28120,jubilars,jubilars,0.33,8,8
28121,jubilaen,jubile@n,1.0,8,8
28122,jubilaum,jubileum,7.5,8,8
28123,jubilaums,jubileums,2.0,9,9
28124,jubilaumsausgabe,jubileumsausgab@,0.33,16,16
28125,jubilaumsausgaben,jubileumsausgab@n,0.33,17,17
28126,juckpulver,jukpulv@r,0.33,10,9
28129,juckreiz,jukraits,0.33,8,8
28139,jude,jud@,2.17,4,4
28140,juden,jud@n,18.67,5,5
28141,judentum,jud@ntum,0.17,8,8
28142,judentums,jud@ntums,0.33,9,9
28144,judenverfolgungen,jud@nfe@rfaolguN@n,0.67,17,18
28149,judo,judo,1.33,4,4
28150,judos,judos,0.33,5,5
28151,jugend,jug@nt,141.67,6,6
28152,jugendamt,jug@ntamt,2.17,9,9
28154,jugendamtes,jug@ntamt@s,0.33,11,11
28156,jugendbewegung,jug@ntb@veguN,2.17,14,13
28158,jugendfreund,jug@ntfroynt,2.0,12,12
28159,jugendfreunde,jug@ntfroynd@,2.5,13,13
28160,jugendfreunden,jug@ntfroynd@n,0.17,14,14
28161,jugendfreundes,jug@ntfroynd@s,0.67,14,14
28163,jugendkriminalitat,jug@ntkriminalitet,0.83,18,18
28164,jugendliche,jug@ntliC@,27.83,11,10
28166,jugendlichen,jug@ntliC@n,33.83,12,11
28167,jugendlicher,jug@ntliC@r,2.83,12,11
28169,jugendamter,jug@ntemt@r,0.83,11,11
28170,jugendamtern,jug@ntemt@rn,0.33,12,12
28171,jugoslawien,jugoslavj@n,40.83,11,11
28172,jugoslawiens,jugoslavj@ns,8.33,12,12
28173,juli,juli,315.67,4,4
28178,junge,juN@,23.67,5,4
28179,jungen,juN@n,41.17,6,5
28180,jungfer,juNf@r,0.67,7,6
28181,jungfern,juNf@rn,0.67,8,7
28182,jungfernfahrt,juNfe@rnfart,0.5,13,12
28184,jungfrau,juNfrau,12.0,8,7
28185,jungfrauen,juNfrau@n,1.67,10,9
28186,jungfraulichkeit,juNfroyliCkait,0.33,16,14
28187,junggeselle,juNg@zel@,3.0,11,9
28188,junggesellen,juNg@zel@n,1.67,12,10
28189,junggesellenbude,juNg@zel@nbud@,0.17,16,14
28194,juni,juni,262.33,4,4
28195,junior,junjo@r,1.83,6,7
28196,juniorchef,junjo@rSef,0.17,10,10
28198,junioren,junjor@n,2.67,8,8
28199,juniors,junjo@r@rs,0.17,7,10
28201,junker,juNk@r,5.5,6,6
28202,junkern,juNk@rn,0.67,7,7
28203,junkers,juNk@rs,0.33,7,7
28204,junta,junta,6.33,5,5
28206,jura,jura,1.5,4,4
28207,jurisdiktion,jurisdiktsjon,0.33,12,13
28208,jurist,jurist,5.67,6,6
28209,juristen,jurist@n,9.33,8,8
28214,juroren,juror@n,0.67,7,7
28218,jury,Zyri,9.17,4,4
28219,jurys,Zurys,0.17,5,5
28220,jus,jus,0.17,3,3
28225,justitia,justitsja,0.17,8,9
28226,justiz,justits,14.67,6,7
28227,justizbeamte,justitsb@amt@,0.17,12,13
28232,justizbehorde,justitsb@h2@rd@,0.5,13,15
28233,justizbehorden,justitsb@h2@rd@n,1.17,14,16
28237,justizirrtums,justitsirtums,0.17,13,13
28240,justizminister,justitsminist@r,12.83,14,15
28241,justizministerien,justitsminist@ri@n,0.33,17,18
28242,justizministerium,justitsministe@rjum,2.83,17,19
28243,justizministeriums,justitsministe@rjums,0.83,18,20
28244,justizministern,justitsminiSt@rn,0.17,15,16
28245,justizministers,justitsminist@rs,1.67,15,16
28246,justizmord,justitsmo@rt,0.17,10,12
28251,justizpalast,justitspalast,0.67,12,13
28263,jute,jut@,10.17,4,4
28264,juwel,juvil,0.33,5,5
28266,juwelen,juvel@n,1.67,7,7
28268,juwelier,juveli@r,2.17,8,8
28269,juweliere,juvelir@,0.83,9,8
28272,juweliers,juvelirs,0.83,9,8
28274,jux,juks,1.33,3,4
28278,juxta,juksta,0.17,5,6
28281,jackchen,jekC@n,0.83,8,6
28282,jackchens,jekC@ns,0.17,9,7
28283,jager,jeg@r,13.0,5,5
28284,jagerei,jeg@rai,0.33,7,7
28285,jagerlatein,jeg@rlatain,0.33,11,11
28286,jagerlateins,jeg@rlatains,0.17,12,12
28287,jagermeister,jeg@rmaist@r,0.17,12,12
28290,jagern,jeg@rn,1.17,6,6
28291,jagers,jeg@rs,0.83,6,6
28293,jahzorn,jetso@rn,0.17,7,8
28300,judin,jydin,0.33,5,5
28302,junger,jyN@r,8.67,6,5
28303,jungern,jyN@rn,1.5,7,6
28304,jungers,jyN@rs,0.33,7,6
28305,jungling,jyNliN,4.5,8,6
28306,junglinge,jyNliN@,1.33,9,7
28307,junglingen,jyNliN@n,0.5,10,8
28308,junglings,jyNliNs,0.5,9,7
28309,k,ka,19.83,1,2
28310,kabale,kabal@,3.17,6,6
28312,kabarett,kabaret,2.67,8,7
28316,kabarettist,kabar@tist,1.0,11,10
28317,kabarettisten,kabar@tist@n,0.33,13,12
28318,kabaretts,kabarets,1.0,9,8
28320,kabel,kab@l,2.83,5,5
28321,kabeljau,kab@ljau,4.0,8,8
28324,kabeljaus,kab@ljaus,0.33,9,9
28329,kabeln,kab@ln,2.67,6,6
28332,kabels,kab@ls,0.5,6,6
28333,kabine,kabin@,11.33,6,6
28334,kabinen,kabin@n,1.5,7,7
28335,kabinett,kabinet,49.0,8,7
28336,kabinette,kabinet@,0.83,9,8
28337,kabinetten,kabinet@n,1.33,10,9
28339,kabinetts,kabinets,12.17,9,8
28340,kabinettskrise,kabinetskriz@,0.67,14,13
28341,kabinettskrisen,kabinetskriz@n,0.33,15,14
28342,kabriolett,kabriolet,0.5,10,9
28350,kacheln,kax@ln,1.17,7,6
28351,kachelofen,kax@lof@n,1.67,10,9
28352,kachelofens,kax@lof@ns,0.17,11,10
28355,kadaver,kadav@r,1.33,7,7
28360,kadavern,kadav@rn,0.33,8,8
28364,kader,kad@r,13.0,5,5
28365,kaderabteilung,kad@raptailuN,8.0,14,13
28366,kaderabteilungen,kad@raptailuN@n,0.33,16,15
28367,kadern,kad@rn,2.17,6,6
28370,kaders,kad@rs,0.17,6,6
28371,kadett,kadet,1.5,6,5
28372,kadetten,kadet@n,1.0,8,7
28373,kadmium,katmjum,0.83,7,7
28375,kaff,kaf,0.17,4,3
28376,kaffee,kafe,51.33,6,4
28377,kaffeebohne,kafebon@,0.17,11,8
28378,kaffeebohnen,kafebon@n,0.5,12,9
28385,kaffeekanne,kafe@kan@,1.17,11,9
28390,kaffeemaschine,kafemaSin@,0.17,14,10
28391,kaffeemaschinen,kafemaSin@n,0.17,15,11
28392,kaffeemuhle,kafemyl@,0.67,11,8
28393,kaffeemuhlen,kafemyl@n,0.17,12,9
28394,kaffees,kafes,1.33,7,5
28398,kaffeetanten,kafetant@n,0.17,12,10
28402,kaffeewasser,kafevas@r,0.33,12,9
28417,kahlheit,kalhait,0.17,8,7
28418,kahlkopf,kalkopf,0.17,8,7
28425,kahlschlag,kalSlak,0.17,10,7
28427,kahlschlages,kalSlag@s,0.33,12,9
28429,kahlschlage,kalSleg@,0.17,11,8
28431,kahn,kan,3.5,4,3
28435,kaiser,kaiz@r,37.33,6,6
28436,kaiserin,kaiz@rin,5.17,8,8
28438,kaisern,kaiz@rn,1.0,7,7
28439,kaiserreich,kaiz@rraiC,1.17,11,10
28442,kaiserreiches,kaiz@rraiC@s,0.67,13,12
28443,kaiserreichs,kaiz@rraiCs,0.33,12,11
28444,kaisers,kaiz@rs,10.67,7,7
28445,kaiserstadt,kaiz@rStat,1.83,11,10
28449,kaisertums,kaiz@rtums,0.5,10,10
28452,kajute,kajyt@,0.5,6,6
28453,kajuten,kajyt@n,0.33,7,7
28456,kakao,kakau,19.33,5,5
28458,kakaobohnen,kakaubon@n,0.17,11,10
28466,kakteen,kakte@n,1.5,7,7
28467,kakteen,kakte@n,1.5,7,7
28468,kaktus,kaktus,0.83,6,6
28469,kalamitat,kalamitet,0.17,9,9
28471,kalb,kalp,2.17,4,4
28472,kalbe,kalb@,0.17,5,5
28473,kalben,kalb@n,0.33,6,6
28474,kalbes,kalb@s,0.17,6,6
28476,kalbfelle,kalpfel@,0.67,9,8
28480,kalbfleisch,kalpflaiS,1.17,11,9
28488,kalbsbraten,kalpsbrat@n,0.17,11,11
28496,kaleidoskop,kalaidoskop,0.67,11,11
28501,kalender,kalend@r,8.0,8,8
28502,kalenderjahr,kalend@rjar,3.5,12,11
28503,kalenderjahre,kalend@rjar@,0.33,13,12
28504,kalenderjahren,kalend@rjar@n,0.33,14,13
28505,kalenderjahres,kalend@rjar@s,1.0,14,13
28507,kalendern,kalend@rn,0.67,9,9
28508,kalenders,kalend@rs,1.0,9,9
28518,kali,kali,6.17,4,4
28519,kaliber,kalib@r,1.33,7,7
28521,kalibers,kalib@rs,0.33,8,8
28522,kalif,kelif,0.17,5,5
28528,kalifen,kalif@n,0.17,7,7
28529,kaliindustrie,kaljindustri,0.33,13,12
28531,kalilauge,kalilaug@,0.17,9,9
28536,kalium,kaljum,1.33,6,6
28538,kalk,kalk,4.0,4,4
28543,kalken,kalk@n,0.17,6,6
28547,kalkofen,kalkof@n,0.17,8,8
28555,kalkstein,kalkStain,0.33,9,9
28557,kalksteinen,kalkStain@n,0.17,11,11
28560,kalkulation,kalkulatsjon,8.33,11,12
28561,kalkulationen,kalkulatsjon@n,0.67,13,14
28562,kalkulator,kalkulato@r,1.0,10,11
28563,kalkulatoren,kalkulator@n,0.33,12,12
28564,kalkulators,kalkulato@r@rs,0.17,11,14
28569,kalkul,kalkyl,1.17,6,6
28573,kalkuls,kalkyls,1.0,7,7
28574,kalligraph,kaligraf,0.5,10,8
28575,kalligraphen,kaligraf@n,0.67,12,10
28578,kalorien,kalori@n,1.67,8,8
28582,kaloriengehaltes,kalori@ng@halt@s,0.17,16,16
28583,kaloriengehalts,kalori@ng@halts,0.17,15,15
28591,kaltblutigkeit,kaltblytiCkait,0.33,14,14
28592,kaltfront,kaltfront,3.17,9,9
28603,kalzium,kaltsium,0.33,7,8
28605,kamel,kam@l,1.33,5,5
28606,kamele,kamel@,1.0,6,6
28607,kamelen,kamel@n,0.17,7,7
28609,kamelhaar,kam@lhar,0.17,9,8
28617,kamera,kam@ra,21.67,6,6
28618,kamerad,kam@rat,3.17,7,7
28619,kameraden,kam@rad@n,17.67,9,9
28620,kameradschaft,kam@ratSaft,3.5,13,11
28621,kameradschaftlichkeit,kam@ratSaftliCkait,0.5,21,18
28622,kameramann,kam@raman,1.33,10,9
28626,kameramanner,kam@ramen@r,0.17,12,11
28628,kameras,kameras,2.5,7,7
28631,kamin,kamin,6.5,5,5
28632,kamine,kamin@,1.0,6,6
28633,kaminen,kamin@n,1.0,7,7
28638,kamins,kamins,0.17,6,6
28639,kamm,kam,5.33,4,3
28640,kamme,kam@,0.17,5,4
28641,kammer,kam@r,39.17,6,5
28642,kammerherr,kam@rhe@r,0.17,10,9
28647,kammermusik,kam@rmuzik,7.83,11,10
28648,kammern,kam@rn,4.33,7,6
28649,kammerorchester,kam@ro@rkest@r,2.0,15,14
28651,kammerorchesters,kam@ro@rrCest@rs,0.17,16,16
28652,kammerspiel,kam@rSpil,0.5,11,9
28653,kammerspiele,kam@rSpil@,10.83,12,10
28654,kammerspielen,kam@rSpil@n,2.17,13,11
28656,kammerspiels,kam@rSpils,0.17,12,10
28657,kammersanger,kam@rzeN@r,0.33,12,10
28660,kammes,kam@s,0.17,6,5
28661,kammgarn,kamgarn,0.67,8,7
28667,kampagne,kampanj@,12.33,8,8
28668,kampagnen,kampanj@n,2.5,9,9
28669,kampf,kampf,260.83,5,5
28670,kampfabstimmung,kampfapStimuN,1.5,15,13
28672,kampfe,kampf@,5.33,6,6
28675,kampfes,kampf@s,38.17,7,7
28676,kampfflieger,kampfflig@r,0.17,12,11
28679,kampfflugzeug,kampffluktsoyk,0.33,13,14
28680,kampfflugzeuge,kampffluktsoyg@,2.0,14,15
28681,kampfflugzeugen,kampffluktsoyg@n,0.33,15,16
28684,kampfgeist,kampfgaist,3.5,10,10
28695,kampfhandlungen,kampfhandluN@n,4.33,15,14
28696,kampfhahne,kampfhen@,0.17,10,9
28699,kampfplatz,kampfplats,0.83,10,10
28701,kampfplatzes,kampfplats@s,0.17,12,12
28706,kanada,kanada,31.67,6,6
28707,kanadas,kanadas,5.5,7,7
28708,kanadier,kanadj@r,4.0,8,8
28709,kanadiern,kanadj@rn,0.17,9,9
28713,kanal,kanal,9.33,5,5
28716,kanalisation,kanalizatsjon,2.17,12,13
28717,kanalisationen,kanalizatsjon@n,0.17,14,15
28718,kanals,kanals,2.33,6,6
28719,kanapee,kanape,0.33,7,6
28722,kanarienvogel,kanari@nfodZ@l,0.17,13,14
28724,kanarienvogel,kanari@nv2g@l,0.17,13,13
28727,kandelaber,kand@lab@r,0.5,10,10
28728,kandelabern,kand@lab@rn,0.17,11,11
28732,kandidat,kandidat,21.0,8,8
28733,kandidaten,kandidat@n,51.33,10,10
28734,kandidatur,kandidatu@r,29.83,10,11
28735,kandidaturen,kandidatur@n,0.83,12,12
28736,kandis,kandis,0.17,6,6
28748,kanin,kanin,0.33,5,5
28749,kaninchen,kaninC@n,6.5,9,8
28750,kaninchens,kaninC@ns,0.17,10,9
28754,kanister,kanist@r,1.83,8,8
28755,kanistern,kanist@rn,0.33,9,9
28757,kanne,kan@,1.67,5,4
28761,kannen,kan@n,0.83,6,5
28763,kannibalen,kanibal@n,0.5,10,9
28764,kannibalismus,kanibalismus,0.17,13,12
28765,kanon,kanon,1.5,5,5
28768,kanone,kanon@,1.33,6,6
28769,kanonen,kanon@n,3.67,7,7
28772,kanonenbooten,kanon@nbut@n,0.33,13,12
28778,kanonenfutter,kanon@nfut@r,1.5,13,12
28781,kanonenkugeln,kanon@nkug@ln,0.17,13,13
28785,kanonenschusse,kanon@nSys@,0.17,14,11
28787,kanonier,kanoni@,1.33,8,7
28788,kanoniere,kanonir@,0.17,9,8
28791,kanoniers,kanonirs,0.17,9,8
28795,kanossagang,kanosagaN,0.17,11,9
28803,kantate,kantat@,1.33,7,7
28804,kantaten,kantat@n,0.17,8,8
28805,kante,kant@,7.17,5,5
28809,kanten,kant@n,4.83,6,6
28814,kanton,kanton,3.33,6,6
28815,kantone,kanton@,0.17,7,7
28818,kantons,kantons,0.5,7,7
28830,kantor,kanto@r,0.83,6,7
28839,kanus,kanus,0.17,5,5
28840,kanzel,kants@l,2.33,6,7
28841,kanzeln,kants@ln,0.67,7,8
28845,kanzlei,kantslai,2.17,7,8
28846,kanzleien,kantslai@n,0.83,9,10
28849,kanzler,kantsl@r,42.83,7,8
28850,kanzlern,kantsl@rn,0.33,8,9
28851,kanzlers,kantsl@rs,10.5,8,9
28852,kanzlerschaft,kantsl@rSaft,1.33,13,12
28853,kanale,kanel@,3.0,6,6
28854,kanalen,kanel@n,2.17,7,7
28855,kapazitat,kapatsitet,19.83,9,10
28856,kapazitaten,kapatsitet@n,11.17,11,12
28863,kapelle,kapel@,13.83,7,6
28864,kapellen,kapel@n,2.5,8,7
28865,kapellmeister,kapelmaist@r,1.33,13,12
28867,kapellmeisters,kapelmaist@rs,0.17,14,13
28874,kapern,kap@rn,0.33,6,6
28881,kaperung,kaperuN,0.17,8,7
28885,kapital,kapital,33.83,7,7
28886,kapitalanlage,kapitalanlag@,11.83,13,13
28887,kapitalanlagen,kapitalanlag@n,4.83,14,14
28888,kapitale,kapital@,0.83,8,8
28890,kapitalerhohung,kapitale@r2uN,13.83,15,13
28891,kapitalerhohungen,kapitale@r2uN@n,1.17,17,15
28893,kapitalfehler,kapitalfel@r,0.17,13,12
28896,kapitalflucht,kapitalfluxt,0.17,13,12
28898,kapitalisierung,kapitaliziruN,0.17,15,13
28900,kapitalismus,kapitalismus,25.0,12,12
28901,kapitalist,kapitalist,0.67,10,10
28902,kapitalisten,kapitalist@n,6.17,12,12
28903,kapitalmarkt,kapitalmarkt,7.0,12,12
28905,kapitalmarktes,kapitalmarkt@s,2.67,14,14
28907,kapitalmarkte,kapitalme@rkt@,0.17,13,14
28908,kapitalmarkten,kapitalme@rkt@n,0.17,14,15
28909,kapitals,kapitals,9.83,8,8
28910,kapitalverbrechen,kapitalfe@rbreC@n,1.17,17,17
28912,kapitalzins,kapitaltsins,0.5,11,12
28916,kapitel,kapit@l,22.67,7,7
28917,kapiteln,kapit@ln,1.0,8,8
28918,kapitels,kapit@ls,0.5,8,8
28923,kapitulation,kapitulatsjon,8.67,12,13
28924,kapitulationen,kapitulatsjon@n,0.17,14,15
28930,kapitan,kapiten,16.83,7,7
28931,kapitane,kapiten@,0.33,8,8
28932,kapitanen,kapiten@n,0.5,9,9
28934,kapitanleutnant,kapitenloytnant,1.0,15,15
28936,kapitans,kapitens,1.5,8,8
28939,kaplan,kaplan,3.33,6,6
28945,kappe,kap@,1.17,5,4
28946,kappen,kap@n,1.0,6,5
28947,kappenabend,kap@nab@nt,0.17,11,10
28963,kapriolen,kapriol@n,1.0,9,9
28966,kapsel,kaps@l,6.5,6,6
28967,kapseln,kaps@ln,0.5,7,7
28968,kapuze,kaputs@,1.0,6,7
28969,kapuzen,kaputs@n,0.33,7,8
28970,karabiner,karabin@r,2.17,9,9
28971,karabinern,karabin@rn,0.83,10,10
28976,karaffen,karaf@n,0.17,8,7
28981,karat,karat,1.0,5,5
28982,karate,karat@,0.33,6,6
28983,karaten,karat@n,0.17,7,7
28990,karbid,karbit,1.83,6,6
28991,karbide,karbaid@,0.33,7,8
28995,karbidlampen,karbitlamp@n,0.5,12,12
29014,kardinal,kardinal,15.33,8,8
29020,kardinals,kardinals,2.17,9,9
29022,kardinalskollegium,kardinalskolegjum,0.33,18,17
29023,kardinalskollegiums,kardinalskolegjums,0.17,19,18
29027,kardinalzahlen,kardinaltsal@n,0.33,14,14
29028,kardinale,kardinel@,1.83,9,9
29029,kardinalen,kardinel@n,0.83,10,10
29040,karfreitag,karfraitak,2.67,10,10
29042,karfreitagen,karfraitag@n,0.17,12,12
29045,karfunkel,karfuNk@l,0.17,9,9
29048,kargheit,karChait,0.67,8,8
29051,karikatur,karikatu@rs,3.67,9,11
29052,karikaturen,karikatur@n,1.5,11,11
29056,karikaturist,karikaturist,0.33,12,12
29057,karikaturisten,karikaturist@n,0.17,14,14
29063,karneval,karn@val,4.33,8,8
29067,karnevalisten,karn@valist@n,0.17,13,13
29068,karnevals,karn@vals,1.0,9,9
29077,karosse,karos@,0.67,7,6
29078,karossen,karos@n,0.33,8,7
29084,karotten,karot@n,0.33,8,7
29085,karpfen,karpf@n,3.67,7,7
29087,karpfenteich,karpf@ntaiC,0.83,12,11
29092,karre,kar@,0.67,5,4
29093,karree,kare,0.17,6,4
29094,karrees,kares,0.17,7,5
29095,karren,kar@n,0.83,6,5
29097,karriere,karjer@,16.33,8,7
29098,karrieren,karir@n,0.67,9,7
29099,karrierist,karirist,0.33,10,8
29101,karsamstag,karzamstak,0.5,10,10
29109,karsten,karst@n,1.0,7,7
29112,karte,kart@,19.0,5,5
29113,kartei,kartai,1.0,6,6
29114,karteiblatt,kartaiblat,0.5,11,10
29118,karteiblatter,kartaiblet@r,0.17,13,12
29120,karteien,kartai@n,0.33,8,8
29121,karteikarte,kartaikart@,1.0,11,11
29122,karteikarten,kartaikart@n,0.83,12,12
29123,kartell,kartel,2.5,7,6
29124,kartelle,kartel@,0.17,8,7
29126,kartells,kartels,1.33,8,7
29127,karten,kart@n,28.17,6,6
29133,kartenhaus,kart@nhaus,1.0,10,10
29136,kartenhauser,kart@nhoyz@r,0.33,12,12
29138,kartenspiel,kart@nSpil,1.33,11,10
29139,kartenspiele,kart@nSpil@,0.5,12,11
29140,kartenspielen,kart@nSpil@n,0.5,13,12
29142,kartenspiels,kart@nSpils,0.17,12,11
29143,kartenverkauf,kart@nfe@rkauf,1.0,13,14
29152,kartoffel,kartof@l,3.33,9,8
29153,kartoffeln,kartof@ln,22.0,10,9
29154,kartoffelsalat,kartof@lzalat,1.83,14,13
29165,karton,kartoN,4.0,6,6
29168,kartons,kartoNs,2.17,7,7
29170,kartotheken,kartot@k@n,0.17,11,10
29173,karussell,karusel,2.5,9,7
29176,karussells,karusels,0.33,10,8
29177,karwoche,karvox@,0.5,8,7
29179,kaschmir,kaSmir,1.5,8,6
29185,kaschuben,kaSub@n,1.0,9,7
29186,kaserne,kaz@rn@,4.17,7,7
29187,kasernen,kaz@rn@n,2.33,8,8
29188,kasernenhof,kaz@rn@nhof,0.33,11,11
29190,kasernenhofes,kaz@rn@nhof@s,0.33,13,13
29193,kasernenhofen,kaz@rn@nh2f@n,0.17,13,13
29194,kasino,kazino,0.83,6,6
29195,kasinos,kazinos,0.67,7,7
29196,kaskade,kaskad@,0.33,7,7
29197,kaskaden,kaskad@n,0.33,8,8
29207,kasperl,kasp@rl,0.67,7,7
29210,kasperltheater,kasp@rlt@at@r,0.17,14,13
29213,kassa,kasa,0.17,5,4
29221,kassandrarufe,kas@ndraruf@,0.17,13,12
29225,kassation,kasatsjon,0.33,9,9
29229,kasse,kas@,48.5,5,4
29230,kassen,kas@n,2.83,6,5
29231,kassenarzt,kas@nartst,1.17,10,10
29233,kassenarztes,kas@nartst@s,0.17,12,12
29236,kassenzettel,kas@ntset@l,0.5,12,11
29239,kassenarzte,kas@ne@rtst@,1.0,11,12
29240,kassenarzten,kas@ne@rptst@n,0.17,12,14
29243,kassette,kaset@,2.67,8,6
29244,kassetten,kaset@n,0.67,9,7
29247,kassieren,kasir@n,0.33,9,7
29248,kassierer,kasir@r,1.33,9,7
29249,kassiererin,kasir@rin,1.17,11,9
29255,kassierung,kasiruN,1.0,10,7
29258,kastanie,kastanj@,0.5,8,8
29259,kastanien,kastanj@n,2.33,9,9
29260,kastanienbaum,kastanj@nbaum,0.17,13,13
29262,kastanienbaumes,kastanj@nbaum@s,0.17,15,15
29264,kastanienbaume,kastanj@nboym@,0.17,14,14
29265,kastanienbaumen,kastanj@nboym@n,0.33,15,15
29266,kaste,kast@,1.33,5,5
29268,kasteiungen,kastaiuN@n,0.33,11,10
29269,kastell,kastel,1.83,7,6
29270,kastelle,kastel@,0.67,8,7
29271,kastellen,kastel@n,0.33,9,8
29273,kastells,kastels,0.5,8,7
29274,kasten,kast@n,5.33,6,6
29275,kastens,kastens,1.0,7,7
29276,kastenwagen,kast@nvag@n,1.0,11,11
29280,kastrat,kastrat,0.17,7,7
29281,kastraten,kastrat@n,0.17,9,9
29284,kasuistik,kazuistik,0.17,9,9
