,word,pron,freq,len,phlen
347,abhilfe,aphilf@,2.67,7,7
349,abholer,aphol@r,0.17,7,7
354,abhange,apheN@,0.17,7,6
355,abhangen,apheN@n,0.17,8,7
356,abhangigkeit,apheNiCkait,9.67,12,11
357,abhangigkeiten,apheNiCkait@n,0.67,14,13
358,abhangigkeitsverhaltnis,apheNiCkaitsfe@rheltnis,0.5,23,23
362,abhartung,aph@rtuN,0.17,9,8
364,abitur,abitu@r,12.17,6,7
365,abiture,abitur@,0.33,7,7
367,abiturient,abiturjent,0.83,10,10
368,abiturienten,abiturjent@n,3.67,12,12
369,abiturientin,abiturjentin,0.33,12,12
371,abiturs,abitu@rs,0.83,7,8
376,abkapselung,apkaps@luN,0.17,11,10
380,abkehr,apke@r,4.67,6,6
387,abkommen,apkom@n,35.0,8,7
388,abkommens,apkom@ns,21.0,9,8
390,abkunft,apkunft,1.17,7,7
391,abkommling,apk9mliN,0.83,10,8
393,abkommlingen,apk9mliN@n,0.5,12,10
395,abkurzung,apky@rtsuN,3.83,9,10
396,abkurzungen,apkyrtsuN@n,0.5,11,11
405,abladeplatz,aplet@plats,0.17,11,11
409,abladeplatzen,aplet@plets@n,0.17,13,13
410,ablader,aplad@r,0.67,7,7
411,abladern,aplad@rn,0.17,8,8
413,abladung,apladuN,0.17,8,7
415,ablage,aplag@,0.33,6,6
416,ablagen,aplag@n,0.17,7,7
417,ablagerung,aplag@ruN,3.17,10,9
418,ablagerungen,aplag@ruN@n,2.0,12,11
429,ablauf,aplauf,33.67,6,6
431,ablaufes,aplauf@s,0.17,8,8
434,ablaufs,aplaufs,0.83,7,7
440,ablass,aplas,0.17,6,5
446,ableben,apleb@n,2.5,7,7
447,ablebens,apleb@ns,0.33,8,8
448,ableger,apleg@r,0.83,7,7
449,ablegern,apleg@rn,0.17,8,8
451,ablehnung,aplenuN,27.17,9,7
452,ablehnungen,aplenuN@n,0.5,11,9
453,ableitung,aplaituN,1.33,9,8
454,ableitungen,aplaituN@n,0.5,11,10
457,ablenkung,apleNkuN,3.17,9,8
459,ablenkungsmanover,apleNkuNsman2v@r,0.5,17,16
464,ablieferung,aplif@ruN,4.5,11,9
465,ablieferungen,aplif@ruN@n,0.17,13,11
466,ablieferungssoll,aplif@ruNszol,1.67,16,13
467,ablieferungssolls,aplif@ruNszols,0.17,17,14
471,ablaufe,aployf@,1.17,7,7
472,ablaufen,aployf@n,0.33,8,8
473,ablose,apl2z@,2.0,6,6
474,ablosen,apl2z@n,0.67,7,7
475,ablosung,apl2zuN,8.17,8,7
476,ablosungen,apl2zuN@n,0.33,10,9
479,abmachung,apmaxuN,2.5,9,7
480,abmachungen,apmaxuN@n,9.17,11,9
481,abmagerung,apmag@ruN,0.17,10,9
483,abmarsch,apmarS,0.17,8,6
489,abmeldung,apmelduN,0.5,9,8
491,abmessung,apmesuN,0.33,9,7
492,abmessungen,apmesuN@n,2.67,11,9
497,abnahme,apnam@,7.17,7,6
498,abnahmen,apnam@n,0.5,8,7
499,abnehmer,apnem@r,7.0,8,7
504,abnehmerlander,apnem@rlend@r,0.17,14,13
506,abnehmern,apnem@rn,1.67,9,8
508,abneigung,apnaiguN,5.0,9,8
509,abneigungen,apnaiguN@n,0.33,11,10
511,abnormitaten,apno@rmaitet@n,0.17,12,14
512,abnutzung,apnutsuN,1.33,9,8
517,abnutzung,apnytsuN,0.5,9,8
519,abonnement,abonn@m@nt,5.83,10,10
522,abonnements,abon@mas,0.83,11,8
525,abonnent,abon@nt,1.0,8,7
526,abonnenten,abonent@n,6.5,10,9
527,abordnung,apo@rdnuN,5.67,9,9
528,abordnungen,abortnuN@n,3.5,11,10
529,abort,abo@rts,0.5,5,7
532,abortes,abo@rt@ls,0.17,7,9
547,abraum,apraum,1.83,6,6
550,abraums,apraums,0.17,7,7
555,abraxas,apraksas,0.17,7,8
556,abrechnung,apreCnuN,7.67,10,8
557,abrechnungen,apreCnuN@n,0.67,12,10
560,abrede,apred@,1.5,6,6
561,abreden,apred@n,1.0,7,7
564,abreise,apraiz@,9.5,7,7
585,abriegelung,aprig@luN,0.5,11,9
590,abrissen,apris@n,0.17,8,7
592,abriss,apris,2.0,6,5
593,abruf,apruf,1.0,5,5
594,abrufe,apruf@,0.33,6,6
595,abrufen,apruf@n,0.17,7,7
598,abrundung,aprunduN,1.0,9,8
599,abrundungen,aprunduN@n,0.17,11,10
600,abrustung,aprystuN,18.5,9,8
602,abrustungskonferenz,aprystuNskonferents,3.67,19,19
603,abrustungskonferenzen,aprystuNskonferents@n,0.17,21,21
604,absage,apzag@,8.67,6,6
605,absagen,apzag@n,0.67,7,7
606,absatz,apzats,31.67,6,6
608,absatzes,apzats@s,1.33,8,8
609,absatzgebiet,apzatsg@bit,0.5,12,11
610,absatzgebiete,apzatsg@bit@,0.17,13,12
614,abschaffung,apSafuN,9.83,11,7
622,abscheu,apSoy,3.5,7,5
623,abscheulichkeit,apSoyliCkait,0.33,15,12
627,abschiebungen,apSibuN@n,0.33,13,9
628,abschied,apSit,29.0,8,5
629,abschiede,apSid@,0.83,9,6
632,abschieds,apSits,0.33,9,6
633,abschiedsbesuch,apSitsb@zux,1.33,15,11
635,abschiedsbesuchen,apSitsb@zux@n,0.17,17,13
638,abschiedsbrief,apSitsbrif,1.67,14,10
650,abschirmung,apSirmuN,0.33,11,8
654,abschlag,apSlak,4.33,8,6
658,abschlagszahlung,apSlakstsaluN,0.33,16,13
659,abschlagszahlungen,apSlakstsaluN@n,0.33,18,15
660,abschleppdienst,apSlepdinst,0.17,15,11
661,abschleppdienste,apSlepdinst@,0.17,16,12
666,abschlusses,apSlus@s,2.83,11,8
667,abschluss,apSlus,87.0,9,6
668,abschlussexamen,apSluseksam@n,0.83,15,13
670,abschlussprufung,apSluspryfuN,2.17,16,12
671,abschlussprufungen,apSluspryfuN@n,0.17,18,14
677,abschlage,apSleg@,1.67,9,7
678,abschlagen,apSleg@n,0.17,10,8
679,abschlusse,apSlys@,6.0,10,7
680,abschlussen,apSlys@n,0.83,11,8
681,abschnitt,apSnit,22.83,9,6
682,abschnitte,apSnit@,8.5,10,7
683,abschnitten,apSnit@n,3.5,11,8
684,abschnittes,apSnit@s,1.17,11,8
685,abschnitts,apSnits,1.67,10,7
689,abschnurung,apSnyruN,0.33,11,8
695,abschreibung,apSraibuN,5.17,12,9
696,abschreibungen,apSraibuN@n,25.17,14,11
697,abschrift,apSrift,3.67,9,7
698,abschriften,apSrift@n,1.33,11,9
707,abschusses,apSus@s,0.17,10,7
708,abschuss,apSus,2.5,8,5
709,abschussrampe,apSusramp@,0.33,13,10
710,abschussrampen,apSusramp@n,1.0,14,11
711,abschweifung,apSvaifuN,0.17,12,9
712,abschweifungen,apSvaifuN@n,0.83,14,11
713,abschwung,apSvuN,0.17,9,6
717,abschwachung,apSveCuN,4.67,12,8
718,abschwachungen,apSveCuN@n,0.67,14,10
721,abschopfung,apS9pfuN,0.67,11,8
722,abschopfungen,apS9pfuN@n,1.17,13,10
726,abschussen,apSys@n,0.17,10,7
730,abseitigkeit,apzaitiCkait,0.17,12,12
732,abseits,apzaits,1.33,7,7
733,abseitsstellung,apzaitsSteluN,0.17,15,13
735,absender,apzend@r,4.0,8,8
736,absendern,apzend@rn,0.17,9,9
737,absenders,apzend@rs,0.17,9,9
738,absendung,apzenduN,0.33,9,8
745,absetzung,apzetsuN,2.5,9,8
746,absetzungen,apzetsuN@n,2.0,11,10
747,absicht,apziCt,55.83,7,6
748,absichten,apziCt@n,15.33,9,8
751,absichtserklarung,apziCtse@rkleruN,0.33,17,16
752,absichtserklarungen,apziCtse@rkleruN@n,1.0,19,18
753,absolutheit,apzoluthait,0.5,11,11
754,absolutheiten,apzoluthait@n,0.33,13,13
755,absolution,apzolutsjon,0.83,10,11
757,absolutismus,apzolutismus,0.67,12,12
763,absolvent,apzolvent,1.5,9,9
764,absolventen,apzolvent@n,4.17,11,11
765,absolvierung,apzolviruN,0.83,12,10
766,absolvierungen,apzolviruN@n,0.17,14,12
768,absonderlichkeiten,apzond@rliCkait@n,0.33,18,17
769,absonderung,apzond@ruN,0.33,11,10
774,absorber,apzo@rb@n@r,0.17,8,11
777,absorption,apzo@rbptsjon,0.83,10,13
779,abspaltung,apSpaltuN,0.67,10,9
783,absperrhahn,apSperhan,0.17,11,9
789,absperrkette,apSperket@,0.17,12,10
