word,freq,len
sa,1,2
la,1,2
le,1,2
il,1,2
oui,1,3
mon,1,3
bon,1,3
bol,1,3
cou,1,3
non,1,3
qui,1,3
ami,1,3
mot,1,3
nom,1,3
chat,1,4
lire,1,4
dans,1,4
four,1,4
avec,1,4
nous,1,4
papa,1,4
rond,1,4
pour,1,4
joli,1,4
robe,1,4
cour,1,4
soir,1,4
cent,1,4
quoi,1,4
fiche,1,5
chant,1,5
tarte,1,5
balle,1,5
alors,1,5
jaune,1,5
bravo,1,5
fruit,1,5
table,1,5
aller,1,5
avoir,1,5
glace,1,5
vache,1,5
ville,1,5
maman,1,5
pomme,1,5
souris,1,6
dormir,1,6
jamais,1,6
carotte,1,7
