word
abîmé 
abri 
adore 
ahuri 
ami 
âne 
arbre 
arc 
arête 
avale 
avalé 
avec 
avril 
azur 
babar 
bac 
bal 
barbe 
barbu 
bâtir 
bazar 
bébé 
bec 
bel 
bête 
bis 
blé 
boa 
bocal 
bol 
borde 
boxe 
brave 
bravo 
bref 
brûle 
brûlé 
brume 
but 
cacao 
cadre 
café 
calme 
canal 
canif 
cape 
car 
carte 
cave 
clé 
coca 
coco 
code 
col 
copie 
corde 
côte 
côté 
crabe 
crème 
crêpe 
crête 
cri 
cru 
cube 
cuire 
dame 
date 
david 
déjà 
dicte 
dîne 
dire 
doré 
drôle 
dur 
durée 
école 
écume 
égal 
élève 
ému 
épée 
épi 
épine 
étalé 
étape 
été 
fable 
fée 
fer 
ferme 
fermé 
fête 
fève 
fil 
file 
film 
final 
fine 
fini 
finir 
fixe 
flac 
flic 
flûte 
forme 
forte 
frère 
frite 
fuite 
fume 
fumée 
fusée 
garde 
gardé 
gare 
garé 
gaz 
grave 
halte 
hâte 
hélas 
herbe 
hêtre 
hiver 
hôtel 
huile 
huit 
hurle 
idée 
île 
iris 
joli 
judo 
jupe 
jura 
juste 
kaki 
képi 
kilo 
koala 
lac 
lame 
larme 
lave 
lavé 
libre 
lili 
lime 
lire 
liste 
litre 
livre 
loïc 
loto 
luc 
lune 
mal 
marc 
mardi 
mare 
mari 
mars 
même 
mène 
mer 
merle 
météo 
mètre 
métro 
midi 
mine 
mode 
moka 
mordu 
moto 
mule 
mur 
mûre 
mûrir 
net 
noël 
note 
noté 
notre 
obéir 
ogre 
ohé 
olive 
opéra 
ordre 
ôte 
otite 
ovale 
pâle 
papa 
parc 
pardi 
pari 
parle 
parlé 
parmi 
parti 
pâté 
pèle 
perdu 
père 
perle 
piano 
pic 
pie 
pile 
pipe 
pire 
piste 
pli 
plu 
plume 
poème 
poète 
pôle 
poli 
polo 
porte 
poste 
pré 
prête 
prêté 
prévu 
prune 
puni 
pur 
radio 
rame 
râpe 
rare 
raté 
ravi 
ravie 
règle 
rémi 
reste 
rêve 
rêvé 
ride 
rire 
rive 
robe 
roc 
rôle 
roméo 
rôti 
ruade 
rue 
sable 
sac 
sale 
salé 
salir 
sec 
sel 
servi 
silex 
sire 
ski 
sol 
sole 
sorti 
stade 
stop 
stylo 
sucre 
sud 
suivi 
super 
sur 
table 
tac 
tape 
tapé 
tarde 
tarte 
taxi 
tel 
télé 
test 
tête 
têtu 
tic 
tigre 
tir 
tire 
titre 
toc 
tordu 
total 
truc 
tube 
tué 
tuile 
une 
unité 
utile 
vélo 
venus 
verse 
verte 
veste 
vêtu 
vexé 
vide 
vidéo 
vie 
vis 
vite 
vitre 
vive 
vivre 
vol 
vole 
volé 
votre 
vue 
zèbre 
zébu 
zéro 
zone 
zozo 
zut
