word,ortho,pron,freq,
go-da-sse,godasse,go-da-s°,8.92,
trou-sse,trousse,tRu-s°,8.92,
es-ca-le,escale,es-ka-l°,8.92,
es-tom-per,estomper,es-t&-pe,8.85,
tsar,tsar,tsaR,8.85,
sur-plom-ber,surplomber,syR-pl&-be,8.85,
sta-tio-nner,stationner,sta-sjo-ne,8.85,
fa-cheux,facheux,fa-S2,8.85,
rou-ille,rouille,Ru-j°,8.85,
au-to-car,autocar,o-to-kaR,8.85,
a-via-teur,aviateur,a-vja-t2R,8.85,
gue-rrier,guerrier,ge-Rje,8.85,
vé-gé-tal,végétal,ve-Ze-tal,8.85,
mys-ti-que,mystique,mis-ti-k°,8.85,
a-qua-re-lle,aquarelle,a-kwa-Re-l°,8.85,
gau-lois,gaulois,go-lwa,8.85,
po-che-tte,pochette,po-Se-t°,8.85,
par-ta-ge,partage,paR-ta-Z°,8.85,
du-vet,duvet,dy-ve,8.85,
o-li-ve,olive,o-li-v°,8.85,
pro-cé-dé,procédé,pRo-se-de,8.85,
é-ro-ti-que,érotique,e-Ro-ti-k°,8.85,
ru-mi-ner,ruminer,Ry-mi-ne,8.85,
quo-ti-dien,quotidien,ko-ti-dj5,8.85,
con-ti-nue,continue,k&-ti-ny,8.85,
bro-yer,broyer,bRwa-je,8.85,
ca-det,cadet,ka-de,8.85,
fa-ta-li-té,fatalité,fa-ta-li-te,8.85,
sou-cou-pe,soucoupe,su-ku-p°,8.85,
é-lo-ge,éloge,e-lo-Z°,8.85,
glai-se,glaise,gle-z°,8.85,
a-ccu-sa-tion,accusation,a-ky-za-sj&,8.85,
é-chi-ne,échine,e-Si-n°,8.85,
tre-sser,tresser,tRe-se,8.85,
pri-eur,prieur,pRi-2R,8.85,
cor-beau,corbeau,koR-bo,8.85,
en-qué-rir,enquérir,@-ke-RiR,8.85,
ban-dit,bandit,b@-di,8.85,
i-nhu-main,inhumain,i-ny-m5,8.85,
a-gneau,agneau,a-No,8.78,
le-ssi-ve,lessive,le-si-v°,8.78,
gar-ce,garce,gaR-s°,8.78,
ron-din,rondin,R&-d5,8.78,
ru-gueux,rugueux,Ry-g2,8.78,
dé-ni-cher,dénicher,de-ni-Se,8.78,
es-ca-dron,escadron,es-ka-dR&,8.78,
san-gli-er,sanglier,s@-gli-e,8.78,
rou-le-tte,roulette,Ru-le-t°,8.78,
i-ni-tier,initier,i-ni-sje,8.78,
tran-si-tion,transition,tR@-zi-sj&,8.78,
tin-te-ment,tintement,t5-t°-m@,8.78,
fon-te,fonte,f&-t°,8.78,
a-ller,aller,a-le,8.78,
gou-ver-ner,gouverner,gu-veR-ne,8.78,
ma-rrai-ne,marraine,ma-Re-n°,8.78,
mo-ro-se,morose,mo-Ro-z°,8.78,
po-mmier,pommier,po-mje,8.78,
sau-ci-sse,saucisse,so-si-s°,8.78,
pan-tou-fle,pantoufle,p@-tu-fl°,8.78,
fi-nan-ce,finance,fi-n@-s°,8.78,
pro-di-ge,prodige,pRo-di-Z°,8.78,
pa-illa-sse,paillasse,pa-ja-s°,8.78,
pe-rro-quet,perroquet,pe-Ro-ke,8.78,
mou-ler,mouler,mu-le,8.78,
é-pa-ter,épater,e-pa-te,8.78,
ab-ste-nir,abstenir,ap-st°-niR,8.78,
con-grès,congrès,k&-gRe,8.78,
na-val,naval,na-val,8.78,
mi-né-ral,minéral,mi-ne-Ral,8.78,
pi-lo-te,pilote,pi-lo-t°,8.72,
nou-veau-té,nouveauté,nu-vo-te,8.72,
tam-pon,tampon,t@-p&,8.72,
dé-pen-se,dépense,de-p@-s°,8.72,
gi-tan,gitan,Zi-t@,8.72,
é-vo-ca-tion,évocation,e-vo-ka-sj&,8.72,
hym-ne,hymne,im-n°,8.72,
ar-que-bu-se,arquebuse,aR-k°-by-z°,8.72,
bi-se,bise,bi-z°,8.72,
ti-reur,tireur,ti-R2R,8.72,
pli-ssé,plissé,pli-se,8.72,
court,court,kuR,8.72,
a-tten-tat,attentat,a-t@-ta,8.72,
ac-tu-a-li-té,actualité,ak-ty-a-li-te,8.72,
vo-lé,volé,vo-le,8.72,
gé-rant,gérant,Ze-R@,8.72,
fac-tu-re,facture,fak-ty-R°,8.72,
hi-la-re,hilare,i-la-R°,8.72,
re-par-ler,reparler,R°-paR-le,8.65,
ca-mou-fler,camoufler,ka-mu-fle,8.65,
bom-bar-der,bombarder,b&-baR-de,8.65,
di-plo-ma-te,diplomate,di-plo-ma-t°,8.65,
prompt,prompt,pR&,8.65,
sau-le,saule,so-l°,8.65,
as-per-ge,asperge,as-peR-Z°,8.65,
ti-gre,tigre,ti-gR°,8.65,
cha-vi-rer,chavirer,Sa-vi-Re,8.65,
vo-yant,voyant,vwa-j@,8.65,
sou-hait,souhait,su-e,8.65,
ba-na-li-té,banalité,ba-na-li-te,8.65,
dé-e-sse,déesse,de-e-s°,8.65,
b,b,b,8.65,
a-no-din,anodin,a-no-d5,8.65,
a-mé-lio-rer,améliorer,a-me-ljo-Re,8.65,
fra-gi-li-té,fragilité,fRa-Zi-li-te,8.65,
char-gé,chargé,SaR-Ze,8.65,
pull,pull,pyl,8.65,
am-pli-fier,amplifier,@-pli-fje,8.65,
brut,brut,bRyt,8.65,
se-con-dai-re,secondaire,s°-g&-de-R°,8.65,
a-mi-ral,amiral,a-mi-Ral,8.58,
ma-le,male,ma-l°,8.58,
con-tes-ter,contester,k&-tes-te,8.58,
a-bus,abus,a-by,8.58,
sa-tin,satin,sa-t5,8.58,
é-car-la-te,écarlate,e-kaR-la-t°,8.58,
in-ter-prè-te,interprète,5-teR-pRe-t°,8.58,
lacs,lacs,lak,8.58,
li-vrai-son,livraison,li-vRe-z&,8.58,
con-tras-ter,contraster,k&-tRas-te,8.58,
bu-té,buté,by-te,8.58,
re-froi-dir,refroidir,R°-fRwa-diR,8.58,
es-pa-dri-lle,espadrille,es-pa-dRi-j°,8.58,
bi-de,bide,bi-d°,8.58,
ve-illeu-se,veilleuse,ve-j2-z°,8.58,
pa-tois,patois,pa-twa,8.58,
vi-va-ci-té,vivacité,vi-va-si-te,8.58,
jus-te-sse,justesse,Zys-te-s°,8.58,
bo-xe,boxe,bo-ks°,8.58,
en-se-ve-lir,ensevelir,@-s°-v°-liR,8.58,
tri-om-phal,triomphal,tRi-&-fal,8.58,
si-llo-nner,sillonner,si-jo-ne,8.58,
e-ni-vrer,enivrer,@-ni-vRe,8.58,
dé-lu-ge,déluge,de-ly-Z°,8.58,
a-tte-ler,atteler,a-t°-le,8.58,
va-illant,vaillant,va-j@,8.58,
ré-pu-gnant,répugnant,Re-py-N@,8.58,
for-ge,forge,foR-Z°,8.58,
cré-tin,crétin,kRe-t5,8.58,
pè-le-ri-na-ge,pèlerinage,pe-l°-Ri-na-Z°,8.58,
en-tre-pot,entrepot,@-tR°-po,8.58,
i-ssu,issu,i-sy,8.51,
au-tri-chien,autrichien,o-tRi-Sj5,8.51,
du-pe,dupe,dy-p°,8.51,
pou,pou,pu,8.51,
cy-près,cyprès,si-pRe,8.51,
pa-ti-ssier,patissier,pa-ti-sje,8.51,
fleu-ris-te,fleuriste,fl2-Ris-t°,8.51,
é-qui-pe-ment,équipement,e-ki-p°-m@,8.51,
for,for,foR,8.51,
ta-ver-ne,taverne,ta-veR-n°,8.51,
tour-né,tourné,tuR-ne,8.51,
ex-trê-me,extrême,eks-tRe-m°,8.51,
com-ple-xe,complexe,k&-ple-ks°,8.51,
ar-chi-ve,archive,aR-Si-v°,8.51,
ver-nir,vernir,veR-niR,8.51,
dé-ri-sion,dérision,de-Ri-zj&,8.51,
a-rra-ché,arraché,a-Ra-Se,8.51,
vo-ter,voter,vo-te,8.51,
viol,viol,vjol,8.51,
re-lais,relais,R°-le,8.51,
boy,boy,boj,8.51,
vain-cu,vaincu,v5-ky,8.51,
FAUX,FAUX,fo,8.51,
gé-o-gra-phie,géographie,Ze-o-gRa-fi,8.51,
fré-né-sie,frénésie,fRe-ne-zi,8.51,
e-ffi-ca-ci-té,efficacité,e-fi-ka-si-te,8.51,
ra-vi,ravi,Ra-vi,8.51,
so-cle,socle,so-kl°,8.45,
fré-mi-ssant,frémissant,fRe-mi-s@,8.45,
ré-gir,régir,Re-ZiR,8.45,
pré-fet,préfet,pRe-fe,8.45,
pré-ci-pi-té,précipité,pRe-si-pi-te,8.45,
chi-rur-gien,chirurgien,Si-RyR-Zj5,8.45,
é-gout,égout,e-gu,8.45,
in-dis-cret,indiscret,5-dis-kRe,8.45,
fau-sser,fausser,fo-se,8.45,
i-mmen-si-té,immensité,i-m@-si-te,8.45,
co-pier,copier,ko-pje,8.45,
mu-ni-tion,munition,my-ni-sj&,8.45,
pa-tien-ter,patienter,pa-sj@-te,8.45,
cri-mi-nel,criminel,kRi-mi-nel,8.45,
gra-dé,gradé,gRa-de,8.45,
eu-nu-que,eunuque,2-ny-k°,8.45,
chi-ner,chiner,Si-ne,8.45,
an-te-nne,antenne,@-te-n°,8.45,
de-dans,dedans,d°-d@,8.45,
gui-chet,guichet,gi-Se,8.45,
ar-ti-lleur,artilleur,aR-ti-j2R,8.45,
syn-di-cat,syndicat,s5-di-ka,8.45,
a-ssi-mi-ler,assimiler,a-si-mi-le,8.38,
dé-pre-ssion,dépression,de-pRe-sj&,8.38,
nou-rri-ce,nourrice,nu-Ri-s°,8.38,
jau-ni,jauni,Zo-ni,8.38,
fai-ble,faible,fe-bl°,8.38,
mon-tant,montant,m&-t@,8.38,
bar-be-lé,barbelé,baR-b°-le,8.38,
pé-tri-fier,pétrifier,pe-tRi-fje,8.38,
po-sé-ment,posément,po-ze-m@,8.38,
i-voi-re,ivoire,i-vwa-R°,8.38,
dé-me-su-ré,démesuré,de-m°-zy-Re,8.38,
saou-ler,saouler,su-le,8.38,
é-va-nou-i,évanoui,e-va-nu-i,8.38,
gra-ti-tu-de,gratitude,gRa-ti-ty-d°,8.38,
trac,trac,tRak,8.38,
ha-lo,halo,a-lo,8.38,
ba-hut,bahut,ba-y,8.38,
moi-neau,moineau,mwa-no,8.38,
ma-jor,major,ma-ZoR,8.38,
aïe,aïe,aj,8.38,
dé-gou-li-ner,dégouliner,de-gu-li-ne,8.38,
né-ce-ssai-re,nécessaire,ne-se-se-R°,8.38,
toi-ser,toiser,twa-ze,8.38,
jun-gle,jungle,Z5-gl°,8.38,
im-pul-sion,impulsion,5-pyl-sj&,8.38,
es-qui-ver,esquiver,es-ki-ve,8.38,
é-nor-mé-ment,énormément,e-noR-me-m@,8.38,
é-ta-bli,établi,e-ta-bli,8.38,
meu-le,meule,m2-l°,8.38,
ca-ra-pa-ce,carapace,ka-Ra-pa-s°,8.38,
pi-ller,piller,pi-je,8.38,
sar-di-ne,sardine,saR-di-n°,8.38,
fri-me,frime,fRi-m°,8.31,
trac-tion,traction,tRak-sj&,8.31,
ho-te-sse,hotesse,o-te-s°,8.31,
a-ci-de,acide,a-si-d°,8.31,
fu-yant,fuyant,f8i-j@,8.31,
vod-ka,vodka,vod-ka,8.31,
la-by-rin-the,labyrinthe,la-bi-R5-t°,8.31,
fu-ti-le,futile,fy-ti-l°,8.31,
ve-illée,veillée,ve-je,8.31,
in-grat,ingrat,5-gRa,8.31,
ca-ro-tte,carotte,ka-Ro-t°,8.31,
dé-ra-per,déraper,de-Ra-pe,8.31,
crain-tif,craintif,kR5-tif,8.31,
mi-cro,micro,mi-kRo,8.31,
jau-nir,jaunir,Zo-niR,8.31,
so-li-tai-re,solitaire,so-li-te-R°,8.31,
a-ni-ma-tion,animation,a-ni-ma-sj&,8.31,
cou-reur,coureur,ku-R2R,8.31,
a-to-mi-que,atomique,a-to-mi-k°,8.31,
scan-da-leux,scandaleux,sk@-da-l2,8.31,
ri-gou-reux,rigoureux,Ri-gu-R2,8.31,
or-bi-te,orbite,oR-bi-t°,8.31,
né-ga-tif,négatif,ne-ga-tif,8.31,
en-so-le-illé,ensoleillé,@-so-le-je,8.31,
dé-ro-bé,dérobé,de-Ro-be,8.31,
pes-te,peste,pes-t°,8.31,
ren-dor-mir,rendormir,R@-doR-miR,8.31,
bar-bu,barbu,baR-by,8.31,
or-gue,orgue,oR-g°,8.31,
pi-gnon,pignon,pi-N&,8.31,
in-som-nie,insomnie,5-som-ni,8.24,
ha-pper,happer,a-pe,8.24,
tes-ta-ment,testament,tes-ta-m@,8.24,
cal-vai-re,calvaire,kal-ve-R°,8.24,
é-van-gi-le,évangile,e-v@-Zi-l°,8.24,
bu-che-ron,bucheron,by-S°-R&,8.24,
har-ce-ler,harceler,aR-s°-le,8.24,
tour-nu-re,tournure,tuR-ny-R°,8.24,
a-ma-sser,amasser,a-ma-se,8.24,
ex-pul-ser,expulser,eks-pyl-se,8.24,
va-reu-se,vareuse,va-R2-z°,8.24,
in-dis-tinct,indistinct,5-dis-t5,8.24,
mo-de-ler,modeler,mo-d°-le,8.24,
vi-sser,visser,vi-se,8.24,
es-cla-ffer,esclaffer,es-kla-fe,8.24,
pé-ta-le,pétale,pe-ta-l°,8.24,
crou-ler,crouler,kRu-le,8.24,
a-ccrou-pi,accroupi,a-kRu-pi,8.24,
mu-rir,murir,my-RiR,8.24,
ba-llet,ballet,ba-le,8.24,
jo-ckey,jockey,Zo-ke,8.24,
gli-ssant,glissant,gli-s@,8.24,
ga-ran-tie,garantie,ga-R@-ti,8.24,
ré-ci-pro-que,réciproque,Re-si-pRo-k°,8.24,
pour-boi-re,pourboire,puR-bwa-R°,8.24,
com-bi-ne,combine,k&-bi-n°,8.24,
short,short,SoRt,8.24,
grê-le,grêle,gRe-l°,8.24,
pro-fé-rer,proférer,pRo-fe-Re,8.24,
en-to-nner,entonner,@-to-ne,8.24,
len-ti-lle,lentille,l@-ti-j°,8.24,
ré-ser-vé,réservé,Re-zeR-ve,8.24,
ten-tu-re,tenture,t@-ty-R°,8.18,
ra-tion,ration,Ra-sj&,8.18,
four-che,fourche,fuR-S°,8.18,
kios-que,kiosque,kjos-k°,8.18,
é-pe-ron,éperon,e-p°-R&,8.18,
cour-toi-sie,courtoisie,kuR-twa-zi,8.18,
a-man-de,amande,a-m@-d°,8.18,
ma-mmouth,mammouth,ma-mut,8.18,
co-rrect,correct,ko-Rekt,8.18,
ca-pot,capot,ka-po,8.18,
sou-ve-rain,souverain,su-v°-R5,8.18,
ma-lin,malin,ma-l5,8.18,
sé-dui-sant,séduisant,se-d8i-z@,8.18,
vi-gi-lan-ce,vigilance,vi-Zi-l@-s°,8.18,
pé-dé,pédé,pe-de,8.18,
é-ga-li-té,égalité,e-ga-li-te,8.18,
si-rop,sirop,si-Ro,8.18,
é-gal,égal,e-gal,8.18,
ma-nu-el,manuel,ma-ny-el,8.18,
ra-llie-ment,ralliement,Ra-li-m@,8.18,
gra-de,grade,gRa-d°,8.18,
gen-dre,gendre,Z@-dR°,8.11,
psy-chia-tre,psychiatre,psi-kja-tR°,8.11,
pa-ra-do-xe,paradoxe,pa-Ra-do-ks°,8.11,
bou-let,boulet,bu-le,8.11,
cran,cran,kR@,8.11,
ar-mu-re,armure,aR-my-R°,8.11,
in-di-vi-du-el,individuel,5-di-vi-dy-el,8.11,
sub-sti-tu-er,substituer,syb-sti-ty-e,8.11,
bei-ge,beige,be-Z°,8.11,
bou-illant,bouillant,bu-j@,8.11,
rê-che,rêche,Re-S°,8.11,
re-cou-cher,recoucher,R°-ku-Se,8.11,
ci-ta-tion,citation,si-ta-sj&,8.11,
va-che,vache,va-S°,8.11,
o-bli-gé,obligé,o-bli-Ze,8.11,
dé-sar-mer,désarmer,de-zaR-me,8.11,
im-plo-rer,implorer,5-plo-Re,8.11,
cha-let,chalet,Sa-le,8.11,
so-le-nni-té,solennité,so-la-ni-te,8.11,
po-é-tique,poétique,po-e-tik°,8.11,
di-vor-cer,divorcer,di-voR-se,8.11,
ra-di-cal,radical,Ra-di-kal,8.11,
dé-vo-tion,dévotion,de-vo-sj&,8.11,
bro-dé,brodé,bRo-de,8.11,
su-pé-rieur,supérieur,sy-pe-Rj2R,8.11,
for-mat,format,foR-ma,8.11,
fi-ssu-re,fissure,fi-sy-R°,8.11,
ca-sier,casier,ka-zje,8.11,
eu-pho-rie,euphorie,2-fo-Ri,8.11,
jazz,jazz,dZaz,8.11,
é-brou-er,ébrouer,e-bRu-e,8.11,
fou-gè-re,fougère,fu-Ze-R°,8.11,
sot,sot,so,8.11,
cen-sé,censé,s@-se,8.11,
é-tou-ffé,étouffé,e-tu-fe,8.11,
i-né-gal,inégal,i-ne-gal,8.11,
pri-me,prime,pRi-m°,8.11,
é-li-mi-ner,éliminer,e-li-mi-ne,8.04,
de-van-cer,devancer,d°-v@-se,8.04,
i-no-ffen-sif,inoffensif,i-no-f@-sif,8.04,
bou-der,bouder,bu-de,8.04,
zan-zi,zanzi,z@-zi,8.04,
re-te-nue,retenue,R°-t°-ny,8.04,
ran-gé,rangé,R@-Ze,8.04,
dé-plo-rer,déplorer,de-plo-Re,8.04,
sou-der,souder,su-de,8.04,
re-flu-er,refluer,R°-fly-e,8.04,
can-di-dat,candidat,k@-di-da,8.04,
as-cen-sion,ascension,a-s@-sj&,8.04,
cli-que-tis,cliquetis,kli-k°-ti,8.04,
con-te-nu,contenu,k&-t°-ny,8.04,
bran-cher,brancher,bR@-Se,8.04,
sau-ci-sson,saucisson,so-si-s&,8.04,
gor-ger,gorger,goR-Ze,8.04,
bled,bled,bled,8.04,
di-ver-ses,diverses,di-veR-s°,8.04,
cor-net,cornet,koR-ne,8.04,
mo-nas-tè-re,monastère,mo-nas-te-R°,7.97,
pé-ni-che,péniche,pe-ni-S°,7.97,
sau-ti-ller,sautiller,so-ti-je,7.97,
i-so-le-ment,isolement,i-zo-l°-m@,7.97,
dé-clic,déclic,de-klik,7.97,
a-do-ra-ble,adorable,a-do-Ra-bl°,7.97,
vul-né-ra-ble,vulnérable,vyl-ne-Ra-bl°,7.97,
fran-chi-se,franchise,fR@-Si-z°,7.97,
é-pou-van-ter,épouvanter,e-pu-v@-te,7.97,
a-vi-di-té,avidité,a-vi-di-te,7.97,
trou-blé,troublé,tRu-ble,7.97,
pro-pre-té,propreté,pRo-pR°-te,7.97,
é-tou-ffant,étouffant,e-tu-f@,7.97,
spon-ta-né,spontané,sp&-ta-ne,7.97,
gi-cler,gicler,Zi-kle,7.97,
dé-lit,délit,de-li,7.97,
mau-ssa-de,maussade,mo-sa-d°,7.97,
en-train,entrain,@-tR5,7.97,
é-bau-cher,ébaucher,e-bo-Se,7.97,
a-ttein-te,atteinte,a-t5-t°,7.97,
che-mi-sier,chemisier,S°-mi-zje,7.97,
tri-po-ter,tripoter,tRi-po-te,7.97,
so-mmier,sommier,so-mje,7.97,
gri-ffo-nner,griffonner,gRi-fo-ne,7.97,
é-tui,étui,e-t8i,7.97,
a-llier,allier,a-lje,7.97,
fri-go,frigo,fRi-go,7.97,
in-ter-dit,interdit,5-teR-di,7.97,
mets,mets,me,7.97,
ob-jec-tion,objection,ob-Zek-sj&,7.97,
bo-xeur,boxeur,bo-ks2R,7.97,
thé-a-tral,théatral,te-a-tRal,7.97,
ca-ïd,caïd,ka-id,7.97,
en-chan-té,enchanté,@-S@-te,7.97,
ré-pa-ra-tion,réparation,Re-pa-Ra-sj&,7.97,
ail,ail,aj,7.97,
vi-zir,vizir,vi-ziR,7.97,
in-fa-me,infame,5-fa-m°,7.91,
en-cens,encens,@-s@,7.91,
sa-per,saper,sa-pe,7.91,
bra-vo,bravo,bRa-vo,7.91,
trui-te,truite,tR8i-t°,7.91,
tan-guer,tanguer,t@-ge,7.91,
re-nou-er,renouer,R°-nu-e,7.91,
sus-pen-sion,suspension,sys-p@-sj&,7.91,
é-go-ï-ste,égoïste,e-go-i-st°,7.91,
stock,stock,stok,7.91,
moi-sson,moisson,mwa-s&,7.91,
cin-quiè-me,cinquième,s5-kje-m°,7.91,
ho-rai-re,horaire,o-Re-R°,7.91,
é-pui-se-ment,épuisement,e-p8i-z°-m@,7.91,
sè-ve,sève,se-v°,7.91,
ré-pu-gnan-ce,répugnance,Re-py-N@-s°,7.91,
hé-ré-sie,hérésie,e-Re-zi,7.91,
fau-sse-ment,faussement,fo-s°-m@,7.91,
fri-che,friche,fRi-S°,7.91,
e-ssou-ffler,essouffler,e-su-fle,7.91,
pré-fec-tu-re,préfecture,pRe-fek-ty-R°,7.91,
ho-quet,hoquet,o-ke,7.91,
mi-gnon,mignon,mi-N&,7.91,
ra-jeu-nir,rajeunir,Ra-Z2-niR,7.91,
sculp-tu-re,sculpture,skyl-ty-R°,7.91,
a-nor-mal,anormal,a-noR-mal,7.91,
ga-mme,gamme,ga-m°,7.91,
té-né-breux,ténébreux,te-ne-bR2,7.91,
ré-per-cu-ter,répercuter,Re-peR-ky-te,7.91,
sim-pli-fier,simplifier,s5-pli-fje,7.84,
sous-trai-re,soustraire,sus-tRe-R°,7.84,
mon-ceau,monceau,m&-so,7.84,
ful-gu-rant,fulgurant,fyl-gy-R@,7.84,
gou-ter,gouter,gu-te,7.84,
a-lar-me,alarme,a-laR-m°,7.84,
li-cen-ce,licence,li-s@-s°,7.84,
no-mmé,nommé,no-me,7.84,
fa-ti-gant,fatigant,fa-ti-g@,7.84,
a-rron-di,arrondi,a-R&-di,7.84,
e-xi-geant,exigeant,e-gzi-Z@,7.84,
a-ffai-blir,affaiblir,a-fe-bliR,7.84,
trou-va-ille,trouvaille,tRu-va-°j,7.84,
pu-nai-se,punaise,py-ne-z°,7.84,
froi-deur,froideur,fRwa-d2R,7.84,
hu-tte,hutte,y-t°,7.84,
me-no-tte,menotte,m°-no-t°,7.84,
è-re,ère,e-R°,7.84,
croc,croc,kRo,7.84,
con-tre-di-re,contredire,k&-tR°-di-R°,7.84,
tri-er,trier,tRi-e,7.84,
fra-ca-sser,fracasser,fRa-ka-se,7.84,
a-tta-bler,attabler,a-ta-ble,7.84,
prin-ci-pal,principal,pR5-si-pal,7.84,
boi-ter,boiter,bwa-te,7.77,
per-ler,perler,peR-le,7.77,
dé-mon-ter,démonter,de-m&-te,7.77,
fa-illi-te,faillite,fa-ji-t°,7.77,
gri-sa-ille,grisaille,gRi-za-j°,7.77,
ai-sé,aisé,e-ze,7.77,
sug-ges-tion,suggestion,syg-Zes-tj&,7.77,
hu-blot,hublot,y-blo,7.77,
in-té-re-ssé,intéressé,5-te-Re-se,7.77,
doc-tri-ne,doctrine,dok-tRi-n°,7.77,
plei-ne-ment,pleinement,ple-n°-m@,7.77,
co-co,coco,ko-ko,7.77,
mo-ye-nne,moyenne,mwa-je-n°,7.77,
dé-dier,dédier,de-dje,7.77,
é-moi,émoi,e-mwa,7.77,
ves-ti-ge,vestige,ves-ti-Z°,7.77,
vi-trail,vitrail,vi-tRaj,7.77,
dé-lai-sser,délaisser,de-le-se,7.77,
sym-pa,sympa,s5-pa,7.77,
mé-lo-die,mélodie,me-lo-di,7.77,
bru-ne,brune,bRy-n°,7.77,
ga-zon,gazon,ga-z&,7.77,
re-ssai-sir,ressaisir,R°-se-ziR,7.77,
sur-vi-vant,survivant,syR-vi-v@,7.77,
fi-fi,fifi,fi-fi,7.77,
pa-la-ce,palace,pa-la-s°,7.77,
de-vi-se,devise,d°-vi-z°,7.77,
re-çu,reçu,R°-sy,7.7,
guet,guet,ge,7.7,
gam-ber-ger,gamberger,g@-beR-Ze,7.7,
pre-ssant,pressant,pRe-s@,7.7,
na-zi,nazi,na-zi,7.7,
four-gon,fourgon,fuR-g&,7.7,
ma-cu-ler,maculer,ma-ky-le,7.7,
me-tteur,metteur,me-t2R,7.7,
fri-ser,friser,fRi-ze,7.7,
maî-tri-se,maîtrise,me-tRi-z°,7.7,
res-pec-tif,respectif,Res-pek-tif,7.7,
dé-am-bu-ler,déambuler,de-@-by-le,7.7,
ca-ser,caser,ka-ze,7.7,
a-hu-ri,ahuri,a-y-Ri,7.7,
re-por-ter,reporter,R°-poR-te,7.7,
ré-u-ssi,réussi,Re-y-si,7.7,
im-pro-ba-ble,improbable,5-pRo-ba-bl°,7.7,
re-pla-cer,replacer,R°-pla-se,7.7,
co-hue,cohue,ko-y,7.7,
co-teau,coteau,ko-to,7.7,
sou-per,souper,su-pe,7.7,
cin-quan-te,cinquante,s5-k@-t°,7.7,
a-ssour-dir,assourdir,a-suR-diR,7.7,
ca-dran,cadran,ka-dR@,7.7,
struc-tu-re,structure,stRyk-ty-R°,7.7,
te-rrer,terrer,te-Re,7.7,
é-gre-ner,égrener,e-gR°-ne,7.7,
so-viet,soviet,so-vjet,7.7,
ar-chi-tec-te,architecte,aR-Si-tek-t°,7.7,
ha,ha,a,7.7,
pré-fé-ra-ble,préférable,pRe-fe-Ra-bl°,7.7,
en-se-rrer,enserrer,@-se-Re,7.7,
in-dus-tri-el,industriel,5-dys-tRi-el,7.7,
pié-té,piété,pje-te,7.7,
far-deau,fardeau,faR-do,7.7,
po-si-tif,positif,po-zi-tif,7.7,
sau-va-ge-rie,sauvagerie,so-va-Z°-Ri,7.7,
fon-da-tion,fondation,f&-da-sj&,7.64,
mé-san-ge,mésange,me-z@-Z°,7.64,
non-cha-lant,nonchalant,n&-Sa-l@,7.64,
mê-lée,mêlée,me-le,7.64,
trom-pe,trompe,tR&-p°,7.64,
tram-way,tramway,tRam-we,7.64,
pa-rrain,parrain,pa-R5,7.64,
chan-ta-ge,chantage,S@-ta-Z°,7.64,
fiè-re-ment,fièrement,fje-R°-m@,7.64,
a-ttrac-tion,attraction,a-tRak-sj&,7.64,
croi-sé,croisé,kRwa-ze,7.64,
pol-ka,polka,pol-ka,7.64,
de-van-tu-re,devanture,d°-v@-ty-R°,7.64,
pré-ten-du,prétendu,pRe-t@-dy,7.64,
pa-yé,payé,pe-je,7.64,
re-te-nu,retenu,R°-t°-ny,7.64,
e-ffec-tif,effectif,e-fek-tif,7.64,
cro-quis,croquis,kRo-ki,7.64,
i-rré-gu-lier,irrégulier,i-Re-gy-lje,7.64,
ré-ti-cen-ce,réticence,Re-ti-s@-s°,7.64,
i-mmi-nent,imminent,i-mi-n@,7.64,
pro-mo-tion,promotion,pRo-mo-sj&,7.64,
froc,froc,fRok,7.64,
huî-tre,huître,8i-tR°,7.64,
gou-dron,goudron,gu-dR&,7.64,
é-tour-dir,étourdir,e-tuR-diR,7.64,
re-tran-cher,retrancher,R°-tR@-Se,7.64,
din-gue,dingue,d5-g°,7.57,
ba-ïo-nne-tte,baïonnette,ba-jo-ne-t°,7.57,
por-tion,portion,poR-sj&,7.57,
ba-na-ne,banane,ba-na-n°,7.57,
to-que,toque,to-k°,7.57,
é-per-du,éperdu,e-peR-dy,7.57,
es-cor-ter,escorter,es-koR-te,7.57,
en-ra-ger,enrager,@-Ra-Ze,7.57,
au-ra,aura,o-Ra,7.57,
bou-din,boudin,bu-d5,7.57,
i-na-per-çu,inaperçu,i-na-peR-sy,7.57,
in-ver-ser,inverser,5-veR-se,7.57,
a-ga-ce-ment,agacement,a-ga-s°-m@,7.57,
ré-tré-cir,rétrécir,Re-tRe-siR,7.57,
i-llu-mi-né,illuminé,i-ly-mi-ne,7.57,
mi-jo-ter,mijoter,mi-Zo-te,7.57,
en-du-rer,endurer,@-dy-Re,7.57,
ra-bbin,rabbin,Ra-b5,7.57,
fa-né,fané,fa-ne,7.57,
ge-lée,gelée,Z°-le,7.57,
cy-gne,cygne,si-N°,7.57,
toi-tu-re,toiture,twa-ty-R°,7.57,
dou-é,doué,du-e,7.57,
doua-nier,douanier,dwa-nje,7.57,
mous-ti-que,moustique,mus-ti-k°,7.57,
fard,fard,faR,7.57,
lord,lord,loRd,7.57,
or,or,oR,7.57,
ba-rri-ca-de,barricade,ba-Ri-ka-d°,7.57,
chan-gé,changé,S@-Ze,7.57,
gri-llé,grillé,gRi-je,7.57,
am-pleur,ampleur,@-pl2R,7.57,
in-con-gru,incongru,5-k&-gRy,7.5,
