word,ortho,pron,freq,
cher-cher,chercher,SeR-Se,448.99,
pa-raî-tre,paraître,pa-Re-tR°,448.11,
donc,donc,d&k,445.88,
long,long,l&,444.86,
tom-ber,tomber,t&-be,441.42,
en-fin,enfin,@-f5,440.27,
tant,tant,t@,436.42,
vrai,vrai,vRe,430.07,
vo-tre,votre,vo-tR°,427.91,
vo-tre,votre,vo-tR°,427.91,
leur,leur,l2R,427.5,
re-gard,regard,R°-gaR,423.18,
co-mmen-cer,commencer,ko-m@-se,421.89,
a-ssez,assez,a-se,420.14,
fi-nir,finir,fi-niR,417.97,
re-trou-ver,retrouver,R°-tRu-ve,416.22,
cham-bre,chambre,S@-bR°,413.31,
sur,sur,syR,412.97,
sur,sur,syR,412.97,
gens,gens,Z@,409.39,
po-ser,poser,po-ze,409.05,
mon-ter,monter,m&-te,404.59,
a-mour,amour,a-muR,403.92,
coeur,coeur,k2R,400.74,
pei-ne,peine,pe-n°,399.53,
mieux,mieux,mj2,398.38,
en-trer,entrer,@-tRe,398.38,
bout,bout,bu,398.11,
seu-le-ment,seulement,s2-l°-m@,397.97,
ma-tin,matin,ma-t5,396.76,
ma-tin,matin,ma-t5,396.76,
dieu,dieu,dj2,396.49,
a-sseoir,asseoir,a-swaR,395.27,
nom,nom,n&,395.0,
mou-rir,mourir,mu-RiR,391.08,
ti-rer,tirer,ti-Re,383.24,
quoi,quoi,kwa,380.07,
ta-ble,table,ta-bl°,379.8,
per-dre,perdre,peR-dR°,377.36,
tour-ner,tourner,tuR-ne,377.09,
fond,fond,f&,376.15,
pour-tant,pourtant,puR-t@,375.68,
a-nnée,année,a-ne,375.54,
au-tres,autres,o-tR°,375.14,
co-mme,comme,ko-m°,365.68,
au-tour,autour,o-tuR,361.55,
his-toi-re,histoire,is-twa-R°,359.53,
gue-rre,guerre,ge-R°,354.59,
a-mi,ami,a-mi,354.12,
vi-lle,ville,vi-l°,352.97,
vi-te,vite,vi-t°,351.89,
dou-te,doute,du-t°,350.07,
mal,mal,mal,349.46,
a-illeurs,ailleurs,a-j2R,346.35,
tard,tard,taR,344.26,
é-cri-re,écrire,e-kRi-R°,341.82,
ins-tant,instant,5s-t@,340.2,
re-pren-dre,reprendre,R°-pR@-dR°,340.14,
lit,lit,li,338.18,
jou-er,jouer,Zu-e,337.23,
je-ter,jeter,Z°-te,336.82,
long-temps,longtemps,l&-t@,335.54,
so-leil,soleil,so-lej,334.39,
voi-la,voila,vwa-la,329.12,
ques-tion,question,kes-tj&,328.45,
i-dée,idée,i-de,328.45,
mar-cher,marcher,maR-Se,325.61,
si-len-ce,silence,si-l@-s°,325.54,
mon-sieur,monsieur,m°-sj2,324.86,
li-re,lire,li-R°,324.8,
ri-re,rire,Ri-R°,320.54,
part,part,paR,320.41,
ce-lui,celui,s°-l8i,319.19,
qui-tter,quitter,ki-te,318.72,
mur,mur,myR,317.77,
mur,mur,myR,317.77,
é-cou-ter,écouter,e-ku-te,314.05,
per-so-nne,personne,peR-so-n°,312.16,
peur,peur,p2R,311.69,
ton,ton,t&,310.47,
ceux,ceux,s2,309.86,
rai-son,raison,Re-z&,308.78,
tour,tour,tuR,308.72,
sor-te,sorte,soR-t°,307.16,
ciel,ciel,sjel,305.2,
mois,mois,mwa,304.86,
des-cen-dre,descendre,de-s@-dR°,301.62,
bois,bois,bwa,299.46,
ce-lle,celle,se-l°,299.46,
fran-çais,français,fR@-se,298.85,
ah,ah,a,297.16,
e-ssa-yer,essayer,e-se-je,296.69,
nou-veau,nouveau,nu-vo,292.43,
sur-tout,surtout,syR-tu,291.49,
re-tour-ner,retourner,R°-tuR-ne,290.88,
pou-sser,pousser,pu-se,288.92,
é-pau-le,épaule,e-po-l°,288.72,
train,train,tR5,288.65,
rou-te,route,Ru-t°,288.04,
par-fois,parfois,paR-fwa,287.36,
sou-vent,souvent,su-v@,286.96,
ou-bli-er,oublier,u-bli-je,286.96,
a-ppren-dre,apprendre,a-pR@-dR°,286.69,
li-vre,livre,li-vR°,286.49,
ser-vir,servir,seR-viR,286.22,
près,près,pRe,285.41,
bou-che,bouche,bu-S°,283.45,
voi-tu-re,voiture,vwa-ty-R°,283.11,
con-ti-nu-er,continuer,k&-ti-ny-e,282.77,
qua-tre,quatre,ka-tR°,282.64,
bruit,bruit,bR8i,281.49,
plu-tot,plutot,ply-to,280.74,
fe-nê-tre,fenêtre,f°-ne-tR°,280.2,
ren-trer,rentrer,R@-tRe,279.93,
fa-çon,façon,fa-s&,277.3,
mon-trer,montrer,m&-tRe,276.55,
piè-ce,pièce,pje-s°,276.35,
sui-te,suite,s8i-t°,275.81,
dès,dès,de,275.07,
fa-mi-lle,famille,fa-mi-j°,274.39,
vrai-ment,vraiment,vRe-m@,274.32,
boi-re,boire,bwa-R°,274.32,
lu-miè-re,lumière,ly-mje-R°,274.26,
ges-te,geste,Zes-t°,271.08,
fa-ce,face,fa-s°,270.88,
che-veu,cheveu,S°-v2,270.68,
lieu,lieu,lj2,267.57,
be-soin,besoin,b°-zw5,266.62,
quel,quel,kel,265.34,
tra-vail,travail,tRa-vaj,263.45,
cou-rir,courir,ku-RiR,263.38,
sou-ri-re,sourire,su-Ri-R°,262.91,
gar-çon,garçon,gaR-s&,262.5,
ra-con-ter,raconter,Ra-k&-te,261.89,
dor-mir,dormir,doR-miR,259.05,
en-vie,envie,@-vi,258.11,
mer,mer,meR,257.57,
gar-der,garder,gaR-de,257.5,
doigt,doigt,dwa,256.15,
mi-lieu,milieu,mi-lj2,256.08,
le-ttre,lettre,le-tR°,256.01,
a-ffai-re,affaire,a-fe-R°,253.38,
ta,ta,ta,251.69,
fils,fils,fis,247.64,
tra-vers,travers,tRa-veR,247.64,
chan-ger,changer,S@-Ze,246.49,
que-lle,quelle,ke-l°,244.39,
pa-ys,pays,pe-i,241.55,
co-mment,comment,ko-m@,241.35,
i-ma-gi-ner,imaginer,i-ma-Zi-ne,241.15,
au-tant,autant,o-t@,240.41,
cri-er,crier,kRi-je,239.73,
tous,tous,tus,238.72,
feu,feu,f2,236.15,
or-dre,ordre,oR-dR°,235.34,
ex-pli-quer,expliquer,eks-pli-ke,233.92,
plai-sir,plaisir,ple-ziR,233.85,
om-bre,ombre,&-bR°,233.45,
a-per-ce-voir,apercevoir,a-peR-s°-vwaR,233.11,
che-min,chemin,S°-m5,231.42,
ve-rre,verre,ve-R°,230.07,
gli-sser,glisser,gli-se,229.32,
bord,bord,boR,228.11,
a-jou-ter,ajouter,a-Zu-te,224.66,
re-ce-voir,recevoir,R°-s°-vwaR,224.46,
lè-vre,lèvre,le-vR°,222.03,
jam-be,jambe,Z@-b°,220.95,
cinq,cinq,s5k,220.61,
vent,vent,v@,220.27,
o-ccu-per,occuper,o-ky-pe,219.8,
a-gir,agir,a-ZiR,219.73,
é-tat,état,e-ta,218.18,
sens,sens,s@s,217.5,
a-ge,age,a-Z°,217.43,
a-ge,age,a-Z°,217.43,
cas,cas,ka,217.36,
frè-re,frère,fRe-R°,216.35,
es-prit,esprit,es-pRi,216.28,
sa-lle,salle,sa-l°,215.81,
sou-ve-nir,souvenir,su-v°-niR,215.41,
dé-ci-der,décider,de-si-de,214.19,
o-ffrir,offrir,o-fRiR,213.99,
dos,dos,do,213.99,
fort,fort,foR,212.77,
po-ssi-ble,possible,po-si-bl°,211.96,
par-tie,partie,paR-ti,211.49,
dix,dix,dis,209.86,
ar-bre,arbre,aR-bR°,208.58,
comp-te,compte,k&-t°,208.38,
pro-pre,propre,pRo-pR°,207.5,
se-rrer,serrer,se-Re,207.5,
sang,sang,s@,207.3,
lor-sque,lorsque,loR-sk°,207.09,
chef,chef,Sef,205.95,
comp-ter,compter,k&-te,203.72,
plu-sieurs,plusieurs,ply-zj2R,203.58,
ma-da-me,madame,ma-da-m°,203.45,
pa-pier,papier,pa-pje,203.11,
tra-va-iller,travailler,tRa-va-je,202.7,
re-me-ttre,remettre,R°-me-tR°,202.5,
ra-ppe-ler,rappeler,Ra-p°-le,202.23,
mi-nu-te,minute,mi-ny-t°,201.42,
tra-ver-ser,traverser,tRa-veR-se,200.81,
ré-pé-ter,répéter,Re-pe-te,200.14,
coin,coin,kw5,199.26,
cou-leur,couleur,ku-l2R,198.72,
dé-cou-vrir,découvrir,de-ku-vRiR,198.18,
jour-nal,journal,ZuR-nal,197.7,
man-quer,manquer,m@-ke,197.64,
se-mai-ne,semaine,s°-me-n°,197.5,
cau-se,cause,ko-z°,197.3,
fer-mer,fermer,feR-me,197.16,
oh,oh,o,197.09,
a-ppro-cher,approcher,a-pRo-Se,196.15,
o-deur,odeur,o-d2R,195.68,
