"word","len","freq","first_page","pron","syll","nbsyll","phlen","letter","syllable","word"
"cp","2","6","124","sepe","se-pe","2","4","FALSE","FALSE","TRUE"
"cra","3","2","82","kRa","kRa","1","3","FALSE","TRUE","FALSE"
"crai","4","2","93","kRE","kRE","1","3","FALSE","TRUE","FALSE"
"craie","5","2","93","kRE","kRE","1","3","FALSE","TRUE","TRUE"
"craint","6","2","110","kR5","kR5","1","3","FALSE","TRUE","TRUE"
"cran","4","4","82","kR@","kR@","1","3","FALSE","TRUE","TRUE"
"crapaud","7","2","82","kRapo","kRa-po","2","5","FALSE","FALSE","TRUE"
"crapauds","8","2","106","kRapo","kRa-po","2","5","FALSE","FALSE","TRUE"
"craquantes","10","2","108","kRak@t°","kRa-k@-t°","3","7","FALSE","FALSE","TRUE"
"crème","5","2","110","kREm°","kRE-m°","2","5","FALSE","FALSE","TRUE"
"crémeux","7","2","123","kRem°","kRe-m°","2","5","FALSE","FALSE","TRUE"
"crêpe","5","2","101","kREp°","kRE-p°","2","5","FALSE","FALSE","TRUE"
"crêpes","6","2","92","kREp°","kRE-p°","2","5","FALSE","FALSE","TRUE"
"creuser","7","2","123","kR°ze","kR°-ze","2","5","FALSE","FALSE","TRUE"
"creux","5","2","106","kR°","kR°","1","3","FALSE","TRUE","TRUE"
"crevé","5","2","115","kR°ve","kR°-ve","2","5","FALSE","FALSE","TRUE"
"cri","3","6","100","kRi","kRi","1","3","FALSE","TRUE","TRUE"
"crient","6","2","106","kRi","kRi","1","3","FALSE","TRUE","TRUE"
"cris","4","4","104","kRi","kRi","1","3","FALSE","TRUE","TRUE"
"cro","3","2","82","kRo","kRo","1","3","FALSE","TRUE","FALSE"
"crocodile","9","4","82","kRokodil°","kRo-ko-di-l°","4","9","FALSE","FALSE","TRUE"
"crocs","5","2","110","kRo","kRo","1","3","FALSE","TRUE","TRUE"
"crois","5","2","90","kRwa","kRwa","1","4","FALSE","TRUE","TRUE"
"croissant","9","2","79","kRwas@","kRwa-s@","2","6","FALSE","FALSE","TRUE"
"croque","6","2","110","kRok°","kRo-k°","2","5","FALSE","FALSE","TRUE"
"croquent","8","2","108","kRok°","kRo-k°","2","5","FALSE","FALSE","TRUE"
"croquer","7","2","112","kRoke","kRo-ke","2","5","FALSE","FALSE","TRUE"
"cu","2","2","82","ky","ky","1","2","FALSE","TRUE","FALSE"
"cube","4","4","82","kyb°","ky-b°","2","4","FALSE","FALSE","TRUE"
"cueillait","9","2","132","k°jE","k°-jE","2","4","FALSE","FALSE","TRUE"
"cueille","7","4","128","k°j","k°j","1","3","FALSE","TRUE","TRUE"
"cuire","5","4","101","kyiR°","kyi-R°","2","5","FALSE","FALSE","TRUE"
"cuisson","7","2","101","kyis&","kyi-s&","2","5","FALSE","FALSE","TRUE"
"cuit","4","2","112","kyi","kyi","1","3","FALSE","TRUE","TRUE"
"curieux","7","6","122","kyRj°","ky-Rj°","2","5","FALSE","FALSE","TRUE"
"cy","2","2","96","si","si","1","2","FALSE","TRUE","FALSE"
"cycliste","8","2","111","siklist°","si-kli-st°","3","8","FALSE","FALSE","TRUE"
"cygne","5","2","114","siN°","si-N°","2","4","FALSE","FALSE","TRUE"
"cyril","5","2","96","siRil","si-Ril","2","5","FALSE","FALSE","TRUE"
"d","1","8","61","d","d","1","1","TRUE","TRUE","FALSE"
"da","2","2","61","da","da","1","2","FALSE","TRUE","FALSE"
"dain","4","2","67","d5","d5","1","2","FALSE","TRUE","FALSE"
"dal","3","2","61","dal","dal","1","3","FALSE","TRUE","FALSE"
"dame","4","2","94","dam°","da-m°","2","4","FALSE","FALSE","TRUE"
"dans","4","188","27","d@","d@","1","2","FALSE","TRUE","TRUE"
"danse","5","2","115","d@s°","d@-s°","2","4","FALSE","FALSE","TRUE"
"dau","3","2","61","do","do","1","2","FALSE","TRUE","FALSE"
"dauphin","7","2","89","dof5","do-f5","2","4","FALSE","FALSE","TRUE"
"de","2","460","15","d°","d°","1","2","FALSE","TRUE","TRUE"
"dé","2","2","61","de","de","1","2","FALSE","TRUE","FALSE"
"deau","4","2","61","do","do","1","2","FALSE","TRUE","FALSE"
"debout","6","4","68","d°bu","d°-bu","2","4","FALSE","FALSE","TRUE"
"début","5","6","61","deby","de-by","2","4","FALSE","FALSE","TRUE"
"déchirer","8","2","124","deSiRe","de-Si-Re","3","6","FALSE","FALSE","TRUE"
"décidé","6","2","96","deside","de-si-de","3","6","FALSE","FALSE","TRUE"
"décides","7","2","96","desid","de-sid","2","5","FALSE","FALSE","TRUE"
"découdre","8","2","138","dekudR°","de-ku-dR°","3","7","FALSE","FALSE","TRUE"
"découper","8","2","84","dekupe","de-ku-pe","3","6","FALSE","FALSE","TRUE"
"découvre","8","2","135","dekuvR°","de-ku-vR°","3","7","FALSE","FALSE","TRUE"
"découvrez","9","2","118","dekuvRe","de-ku-vRe","3","7","FALSE","FALSE","TRUE"
"découvrir","9","2","140","dekuvRiR","de-ku-vRiR","3","8","FALSE","FALSE","TRUE"
"déçu","4","2","97","desy","de-sy","2","4","FALSE","FALSE","TRUE"
"déçus","5","2","128","desy","de-sy","2","4","FALSE","FALSE","TRUE"
"défend","6","2","89","def@","de-f@","2","4","FALSE","FALSE","TRUE"
"défenses","8","2","89","def@s°","de-f@-s°","3","6","FALSE","FALSE","TRUE"
"dégouline","9","2","106","degulin°","de-gu-li-n°","4","8","FALSE","FALSE","TRUE"
"dégringole","10","2","88","degR5gol°","de-gR5-go-l°","4","9","FALSE","FALSE","TRUE"
"dégustent","9","2","98","degyst°","de-gy-st°","3","7","FALSE","FALSE","TRUE"
"déjà","4","12","68","deZa","de-Za","2","4","FALSE","FALSE","TRUE"
"déjeune","7","2","115","deZ°n°","de-Z°-n°","3","6","FALSE","FALSE","TRUE"
"déjeuner","8","2","140","deZ°ne","de-Z°-ne","3","6","FALSE","FALSE","TRUE"
"dela","4","6","128","d°la","d°-la","2","4","FALSE","FALSE","TRUE"
"délice","6","2","96","delis°","de-li-s°","3","6","FALSE","FALSE","TRUE"
"délicieuse","10","2","135","delisj°z°","de-li-sj°-z°","4","9","FALSE","FALSE","TRUE"
"délicieux","9","10","122","delisj°","de-li-sj°","3","7","FALSE","FALSE","TRUE"
"déloger","7","2","105","deloZe","de-lo-Ze","3","6","FALSE","FALSE","TRUE"
"demain","6","10","67","d°m5","d°-m5","2","4","FALSE","FALSE","TRUE"
"demanda","7","2","105","d°m@da","d°-m@-da","3","6","FALSE","FALSE","TRUE"
"demande","7","8","80","d°m@d°","d°-m@-d°","3","6","FALSE","FALSE","TRUE"
"demandez","8","2","78","d°m@de","d°-m@-de","3","6","FALSE","FALSE","TRUE"
"demi","4","2","79","d°mi","d°-mi","2","4","FALSE","FALSE","TRUE"
"den","3","2","61","d@","d@","1","2","FALSE","TRUE","FALSE"
"dents","5","6","89","d@","d@","1","2","FALSE","TRUE","TRUE"
"départ","6","4","61","depaR","de-paR","2","5","FALSE","FALSE","TRUE"
"dépasse","7","2","100","depas°","de-pa-s°","3","6","FALSE","FALSE","TRUE"
"dépose","6","2","120","depoz°","de-po-z°","3","6","FALSE","FALSE","TRUE"
"depuis","6","4","61","d°pyi","d°-pyi","2","5","FALSE","FALSE","TRUE"
"derrière","8","2","128","dERjER°","dE-RjE-R°","3","7","FALSE","FALSE","TRUE"
"des","3","138","45","de","de","1","2","FALSE","TRUE","TRUE"
"dès","3","2","112","dE","dE","1","2","FALSE","TRUE","TRUE"
"descend","7","2","132","des@","de-s@","2","4","FALSE","FALSE","TRUE"
"descendre","9","4","130","des@dR°","de-s@-dR°","3","7","FALSE","FALSE","TRUE"
"dessine","7","4","101","desin°","de-si-n°","3","6","FALSE","FALSE","TRUE"
"dessiné","7","2","66","desine","de-si-ne","3","6","FALSE","FALSE","TRUE"
"dessous","7","2","75","d°su","d°-su","2","4","FALSE","FALSE","TRUE"
"dessus","6","2","74","d°sy","d°-sy","2","4","FALSE","FALSE","TRUE"
"détail","6","6","127","detaj","de-taj","2","5","FALSE","FALSE","TRUE"
"deux","4","28","100","d°","d°","1","2","FALSE","TRUE","TRUE"
"devant","6","20","56","d°v@","d°-v@","2","4","FALSE","FALSE","TRUE"
"devenais","8","2","124","d°v°nE","d°-v°-nE","3","6","FALSE","FALSE","TRUE"
"devenir","7","2","96","d°v°niR","d°-v°-niR","3","7","FALSE","FALSE","TRUE"
"deviner","7","2","137","d°vine","d°-vi-ne","3","6","FALSE","FALSE","TRUE"
"devinette","9","2","48","d°vinEt°","d°-vi-nE-t°","4","8","FALSE","FALSE","TRUE"
"devinettes","10","2","122","d°vinEt°","d°-vi-nE-t°","4","8","FALSE","FALSE","TRUE"
"dévore","6","4","78","devoR°","de-vo-R°","3","6","FALSE","FALSE","TRUE"
"dévorera","8","2","88","devoR°Ra","de-vo-R°-Ra","4","8","FALSE","FALSE","TRUE"
"dici","4","2","140","disi","di-si","2","4","FALSE","FALSE","TRUE"
"dien","4","2","123","dj5","dj5","1","3","FALSE","TRUE","FALSE"
"dieu","4","2","122","dj°","dj°","1","3","FALSE","TRUE","TRUE"
"différents","10","2","128","difeR@","di-fe-R@","3","6","FALSE","FALSE","TRUE"
"difficile","9","12","88","difisil°","di-fi-si-l°","4","8","FALSE","FALSE","TRUE"
"difficilement","13","2","124","difisil°m@","di-fi-si-l°-m@","5","10","FALSE","FALSE","TRUE"
"dimanche","8","2","61","dim@S°","di-m@-S°","3","6","FALSE","FALSE","TRUE"
"dimitri","7","2","61","dimitRi","di-mi-tRI","3","7","FALSE","FALSE","TRUE"
"dindon","6","2","138","d5d&","d5-d&","2","4","FALSE","FALSE","TRUE"
"dindons","7","2","112","d5d&","d5-d&","2","4","FALSE","FALSE","TRUE"
"diner","5","6","78","dine","di-ne","2","4","FALSE","FALSE","TRUE"
"dinosaure","9","2","74","dinozoR°","di-no-zo-R°","4","8","FALSE","FALSE","TRUE"
"dir","3","2","61","diR","diR","1","3","FALSE","TRUE","FALSE"
"dirait","6","2","120","diRE","di-RE","2","4","FALSE","FALSE","TRUE"
"dire","4","18","71","diR°","di-R°","2","4","FALSE","FALSE","TRUE"
"discutent","9","2","130","diskyt°","dis-ky-t°","3","7","FALSE","FALSE","TRUE"
"discuter","8","4","102","diskyte","dis-ky-te","3","7","FALSE","FALSE","TRUE"
"disparaitre","11","2","124","dispaREtR°","dis-pa-RE-tR°","4","10","FALSE","FALSE","TRUE"
"dispose","7","2","134","dispoz°","dis-po-z°","3","7","FALSE","FALSE","TRUE"
"distance","8","2","111","dist@s°","dis-t@-s°","3","7","FALSE","FALSE","TRUE"
"distribuait","11","2","124","distRibyE","dis-tRi-byE","3","9","FALSE","FALSE","TRUE"
"dit","3","28","40","di","di","1","2","FALSE","TRUE","TRUE"
"dites","5","2","102","dit°","di-t°","2","4","FALSE","FALSE","TRUE"
"divan","5","4","61","div@","di-v@","2","4","FALSE","FALSE","TRUE"
"dix","3","2","89","dis","dis","1","3","FALSE","TRUE","TRUE"
"do","2","2","61","do","do","1","2","FALSE","TRUE","FALSE"
"dodelinant","10","2","120","dod°lin@","do-d°-li-n@","4","8","FALSE","FALSE","TRUE"
"dodeliner","9","4","128","dod°line","do-d°-li-ne","4","8","FALSE","FALSE","TRUE"
"dodus","5","2","112","dody","do-dy","2","4","FALSE","FALSE","TRUE"
"doigt","5","4","79","dwa","dwa","1","3","FALSE","TRUE","TRUE"
"doit","4","10","79","dwa","dwa","1","3","FALSE","TRUE","TRUE"
"doivent","7","4","112","dwav°","dwa-v°","2","5","FALSE","FALSE","TRUE"
"dol","3","2","62","dol","dol","1","3","FALSE","TRUE","FALSE"
"domicile","8","2","96","domisil°","do-mi-si-l°","4","8","FALSE","FALSE","TRUE"
"domino","6","2","61","domino","do-mi-no","3","6","FALSE","FALSE","TRUE"
"don","3","2","61","d&","d&","1","2","FALSE","TRUE","FALSE"
"donc","4","6","126","d&k","d&k","1","3","FALSE","TRUE","TRUE"
"donne","5","6","49","don°","do-n°","2","4","FALSE","FALSE","TRUE"
"donné","5","4","127","done","do-ne","2","4","FALSE","FALSE","TRUE"
"donnent","7","2","78","don°","do-n°","2","4","FALSE","FALSE","TRUE"
"dor","3","2","62","doR","doR","1","3","FALSE","TRUE","FALSE"
"doré","4","4","67","doRe","do-Re","2","4","FALSE","FALSE","TRUE"
"dorée","5","2","140","doRe","do-Re","2","4","FALSE","FALSE","TRUE"
"dormant","7","4","100","doRm@","doR-m@","2","5","FALSE","FALSE","TRUE"
"dormir","6","4","61","doRmiR","doR-miR","2","6","FALSE","FALSE","TRUE"
"dort","4","4","61","doR","doR","1","3","FALSE","TRUE","TRUE"
"dos","3","6","61","do","do","1","2","FALSE","TRUE","TRUE"
"dou","3","2","61","du","du","1","2","FALSE","TRUE","FALSE"
"douce","5","2","137","dus°","du-s°","2","4","FALSE","FALSE","TRUE"
"doucement","9","4","101","dus°m@","du-s°-m@","3","6","FALSE","FALSE","TRUE"
"douche","6","2","62","duS°","du-S°","2","4","FALSE","FALSE","TRUE"
"doux","4","6","61","du","du","1","2","FALSE","TRUE","TRUE"
"douze","5","2","70","duz°","du-z°","2","4","FALSE","FALSE","TRUE"
"dragon","6","10","88","dRag&","dRa-g&","2","5","FALSE","FALSE","TRUE"
"dragonne","8","2","105","dRagon°","dRa-go-n°","3","7","FALSE","FALSE","TRUE"
"dre","3","4","61","dR°","dR°","1","3","FALSE","TRUE","FALSE"
"dré","3","4","61","dRe","dRe","1","3","FALSE","TRUE","FALSE"
"dresse","6","2","120","dREs°","dRE-s°","2","5","FALSE","FALSE","TRUE"
"dri","3","2","61","dRi","dRi","1","3","FALSE","TRUE","FALSE"
"drin","4","2","66","dR5","dR5","1","3","FALSE","TRUE","FALSE"
"dro","3","4","61","dRo","dRo","1","3","FALSE","TRUE","FALSE"
"droi","4","2","79","dRwa","dRwa","1","4","FALSE","TRUE","FALSE"
"droit","5","8","76","dRwa","dRwa","1","4","FALSE","TRUE","TRUE"
"droite","6","6","79","dRwat°","dRwa-t°","2","6","FALSE","FALSE","TRUE"
"droites","7","2","134","dRwat°","dRwa-t°","2","6","FALSE","FALSE","TRUE"
"drôle","5","8","61","dRol°","dRo-l°","2","5","FALSE","FALSE","TRUE"
"dromadaire","10","4","93","dRomadER°","dRo-ma-dE-R°","4","9","FALSE","FALSE","TRUE"
"dron","4","2","110","dR&","dR&","1","3","FALSE","TRUE","FALSE"
"drou","4","2","61","dRu","dRu","1","3","FALSE","TRUE","FALSE"
"dru","3","2","62","dRy","dRy","1","3","FALSE","TRUE","TRUE"
"du","2","80","45","dy","dy","1","2","FALSE","TRUE","TRUE"
"dul","3","2","62","dyl","dyl","1","3","FALSE","TRUE","FALSE"
"dur","3","4","61","dyR","dyR","1","3","FALSE","TRUE","TRUE"
"durer","5","2","127","dyRe","dy-Re","2","4","FALSE","FALSE","TRUE"
"dy","2","2","71","di","di","1","2","FALSE","TRUE","FALSE"
"dyslexie","8","4","131","dislEksi","di-slEk-si","3","8","FALSE","FALSE","TRUE"
"e","1","12","27","°","°","1","1","TRUE","TRUE","FALSE"
"é","1","8","35","e","e","1","1","TRUE","TRUE","FALSE"
"eaton","5","2","89","it°n","i-t°n","2","4","FALSE","FALSE","TRUE"
"eau","3","20","41","o","o","1","1","FALSE","TRUE","TRUE"
"ébahis","6","2","119","ebai","e-ba-i","3","4","FALSE","FALSE","TRUE"
"échangent","9","2","120","eS@Z°","e-S@-Z°","3","5","FALSE","FALSE","TRUE"
"échappe","7","2","128","eSap°","e-Sa-p°","3","5","FALSE","FALSE","TRUE"
"éclaboussé","10","2","111","eklabuse","e-kla-bu-se","4","8","FALSE","FALSE","TRUE"
"éclatant","8","2","137","eklat@","e-kla-t@","3","6","FALSE","FALSE","TRUE"
"éclate","6","8","140","eklat°","e-kla-t°","3","6","FALSE","FALSE","TRUE"
"éclaté","6","2","124","eklate","e-kla-te","3","6","FALSE","FALSE","TRUE"
"éclateront","10","2","137","eklat°R&","e-kla-t°-R&","4","8","FALSE","FALSE","TRUE"
"école","5","18","61","ekol°","e-ko-l°","3","5","FALSE","FALSE","TRUE"
"écoute","6","4","112","ekut°","e-ku-t°","3","5","FALSE","FALSE","TRUE"
"écrasée","7","2","100","ekRaze","e-kRa-ze","3","6","FALSE","FALSE","TRUE"
"écrie","5","4","93","ekRi","e-kRi","2","4","FALSE","FALSE","TRUE"
"écris","5","2","96","ekRi","e-kRi","2","4","FALSE","FALSE","TRUE"
"écrit","5","8","110","ekRi","e-kRi","2","4","FALSE","FALSE","TRUE"
"écrivons","8","2","140","ekRiv&","e-kRi-v&","3","6","FALSE","FALSE","TRUE"
"écureuil","8","8","126","ekyR°j","e-ky-R°j","3","6","FALSE","FALSE","TRUE"
"édelweiss","9","4","135","edElvEis","e-dEl-vEjs","3","8","FALSE","FALSE","TRUE"
"effrayé","7","2","130","efREje","e-fRE-je","3","6","FALSE","FALSE","TRUE"
"égale","5","2","111","egal°","e-ga-l°","3","5","FALSE","FALSE","TRUE"
"égratigner","10","2","114","egRatiNe","e-gRa-ti-Ne","4","8","FALSE","FALSE","TRUE"
"électricien","11","2","123","elEktRisj5","e-lEk-tRi-sj5","4","10","FALSE","FALSE","TRUE"
"éléphant","8","6","89","elef@","e-le-f@","3","5","FALSE","FALSE","TRUE"
"éléphante","9","2","89","elef@t°","e-le-f@-t°","4","7","FALSE","FALSE","TRUE"
"éléphanteau","11","2","100","elef@to","e-le-f@-to","4","7","FALSE","FALSE","TRUE"
"éléphants","9","4","89","elef@","e-le-f@","3","5","FALSE","FALSE","TRUE"
"élève","5","2","92","elEv°","e-lE-v°","3","5","FALSE","FALSE","TRUE"
"elle","4","54","30","El°","E-l°","2","3","FALSE","FALSE","TRUE"
"elles","5","8","98","El°","E-l°","2","3","FALSE","FALSE","TRUE"
"éloignés","8","2","114","elwaNe","e-lwa-Ne","3","6","FALSE","FALSE","TRUE"
"éluard","6","2","75","elyaR","e-ly-aR","3","5","FALSE","FALSE","TRUE"
"embarcation","11","2","100","@baRkasj&","@-baR-ka-sj&","4","9","FALSE","FALSE","TRUE"
"embrassant","10","2","137","@bRas@","@-bRa-s@","3","6","FALSE","FALSE","TRUE"
"embrouilles","11","2","127","@bRuj°","@-bRu-j°","3","6","FALSE","FALSE","TRUE"
"émerveillé","10","2","116","emERveje","e-mER-ve-je","4","8","FALSE","FALSE","TRUE"
"émilie","6","2","35","emili","e-mi-li","3","5","FALSE","FALSE","TRUE"
"émission","8","2","122","emisj&","e-mi-sj&","3","6","FALSE","FALSE","TRUE"
"emma","4","2","123","ema","e-ma","2","3","FALSE","FALSE","TRUE"
"émotion","7","4","116","emosj&","e-mo-sj&","3","6","FALSE","FALSE","TRUE"
"émotions","8","2","137","emosj&","e-mo-sj&","3","6","FALSE","FALSE","TRUE"
"emplisse","8","2","137","@plis°","@-pli-s°","3","6","FALSE","FALSE","TRUE"
"en","2","156","44","@","@","1","1","FALSE","TRUE","TRUE"
"enchanté","8","2","119","@S@te","@-S@-te","3","5","FALSE","FALSE","TRUE"
"encore","6","6","124","@koR°","@-ko-R°","3","5","FALSE","FALSE","TRUE"
"endormir","8","4","140","@doRmiR","@-doR-miR","3","7","FALSE","FALSE","TRUE"
"endroit","7","2","79","@dRwa","@-dRwa","2","5","FALSE","FALSE","TRUE"
"enduit","6","2","130","@dyi","@-dyi","2","4","FALSE","FALSE","TRUE"
"enfance","7","2","89","@f@s°","@-f@-s°","3","5","FALSE","FALSE","TRUE"
"enfant","6","4","57","@f@","@-f@","2","3","FALSE","FALSE","TRUE"
"enfants","7","20","66","@f@","@-f@","2","3","FALSE","FALSE","TRUE"
"enfin","5","2","70","@f5","@-f5","2","3","FALSE","FALSE","TRUE"
"enfler","6","2","124","@fle","@-fle","2","4","FALSE","FALSE","TRUE"
"enfuit","6","2","105","@fyi","@-fyi","2","4","FALSE","FALSE","TRUE"
"enlever","7","2","101","@l°ve","@-l°-ve","3","5","FALSE","FALSE","TRUE"
"ennuie","6","2","139","@nyi","@-nyi","2","4","FALSE","FALSE","TRUE"
"ennuyer","7","2","130","@nyije","@-nyi-je","3","6","FALSE","FALSE","TRUE"
"énorme","6","6","116","enoRm°","e-noR-m°","3","6","FALSE","FALSE","TRUE"
"énormément","10","2","89","enoRmem@","e-noR-me-m@","4","8","FALSE","FALSE","TRUE"
"ensemble","8","8","57","@s@bl°","@-s@-bl°","3","6","FALSE","FALSE","TRUE"
"ensuite","7","8","74","@syit°","@-syi-t°","3","6","FALSE","FALSE","TRUE"
"entend","6","2","128","@t@","@-t@","2","3","FALSE","FALSE","TRUE"
"entendre","8","4","137","@t@dR°","@-t@-dR°","3","6","FALSE","FALSE","TRUE"
"entrainement","12","2","134","@tREn°m@","@-tRE-n°-m@","4","8","FALSE","FALSE","TRUE"
"entrainer","9","2","108","@tREne","@-tRE-ne","3","6","FALSE","FALSE","TRUE"
"entre","5","18","100","@tR°","@-tR°","2","4","FALSE","FALSE","TRUE"
"entrée","6","6","57","@tRe","@-tRe","2","4","FALSE","FALSE","TRUE"
"enveloppe","9","2","120","@v°lop°","@-v°-lo-p°","4","7","FALSE","FALSE","TRUE"
"envie","5","4","57","@vi","@-vi","2","3","FALSE","FALSE","TRUE"
"enzo","4","2","71","Enzo","En-zo","2","4","FALSE","FALSE","TRUE"
"épaissit","8","2","101","epEsi","e-pE-si","3","5","FALSE","FALSE","TRUE"
"épatant","7","2","78","epat@","e-pa-t@","3","5","FALSE","FALSE","TRUE"
"épaule","6","6","48","epol°","e-po-l°","3","5","FALSE","FALSE","TRUE"
"épée","4","8","35","epe","e-pe","2","3","FALSE","FALSE","TRUE"
"épices","6","2","97","epis°","e-pi-s°","3","5","FALSE","FALSE","TRUE"
"épinards","8","2","52","epinaR","e-pi-naR","3","6","FALSE","FALSE","TRUE"
"épines","6","2","105","epin°","e-pi-n°","3","5","FALSE","FALSE","TRUE"
"éponge","6","2","104","ep&Z°","e-p&-Z°","3","5","FALSE","FALSE","TRUE"
"épouvantail","11","2","124","epuv@taj","e-pu-v@-taj","4","8","FALSE","FALSE","TRUE"
"éprouvant","9","2","56","epRuv@","e-pRu-v@","3","6","FALSE","FALSE","TRUE"
"équilibre","9","2","116","ekilibR°","e-ki-li-bR°","4","8","FALSE","FALSE","TRUE"
"équipe","6","4","83","ekip°","e-ki-p°","3","5","FALSE","FALSE","TRUE"
"er","2","2","78","e","e","1","1","FALSE","TRUE","FALSE"
"es","2","4","120","E","E","1","1","FALSE","TRUE","TRUE"
"espèces","7","2","114","EspEs°","Es-pE-s°","3","6","FALSE","FALSE","TRUE"
"espère","6","2","120","EspER°","Es-pE-R°","3","6","FALSE","FALSE","TRUE"
"espiègle","8","2","118","EspjEgl°","Es-pjE-gl°","3","8","FALSE","FALSE","TRUE"
"essaie","6","2","140","EsE","E-sE","2","3","FALSE","FALSE","TRUE"
"essuyer","7","2","130","esyije","e-syi-je","3","6","FALSE","FALSE","TRUE"
"est","3","368","23","e","e","1","1","FALSE","TRUE","TRUE"
"et","2","404","19","e","e","1","1","FALSE","TRUE","TRUE"
"étais","5","6","124","etE","e-tE","2","3","FALSE","FALSE","TRUE"
"était","5","6","101","etE","e-tE","2","3","FALSE","FALSE","TRUE"
"étaler","6","2","101","etale","e-ta-le","3","5","FALSE","FALSE","TRUE"
"étape","5","2","108","etap°","e-ta-p°","3","5","FALSE","FALSE","TRUE"
"été","3","10","102","ete","e-te","2","3","FALSE","FALSE","TRUE"
"éteint","6","2","84","et5","e-t5","2","3","FALSE","FALSE","TRUE"
"êtes","4","2","137","Et°","E-t°","2","3","FALSE","FALSE","TRUE"
"étoile","6","4","135","etwal°","e-twa-l°","3","6","FALSE","FALSE","TRUE"
"étoilée","7","4","140","etwale","e-twa-le","3","6","FALSE","FALSE","TRUE"
"étoiles","7","6","79","etwal°","e-twa-l°","3","6","FALSE","FALSE","TRUE"
"étonne","6","4","102","eton°","e-to-n°","3","5","FALSE","FALSE","TRUE"
"être","4","18","92","EtR°","E-tR°","2","4","FALSE","FALSE","TRUE"
"étroits","7","2","108","etRwa","e-tRwa","2","5","FALSE","FALSE","TRUE"
"étudient","8","2","139","etydi","e-ty-di","3","5","FALSE","FALSE","TRUE"
"eu","2","6","127","y","y","1","1","FALSE","TRUE","TRUE"
"eux","3","6","128","°","°","1","1","FALSE","TRUE","TRUE"
"éveillé","7","2","140","eveje","e-ve-je","3","5","FALSE","FALSE","TRUE"
"évidemment","10","2","139","evidam@","e-vi-da-m@","4","7","FALSE","FALSE","TRUE"
"exact","5","2","134","Egzakt","Eg-zakt","2","6","FALSE","FALSE","TRUE"
"examine","7","4","134","Egzamin°","Eg-za-mi-n°","4","8","FALSE","FALSE","TRUE"
"examiner","8","2","134","Egzamine","Eg-za-mi-ne","4","8","FALSE","FALSE","TRUE"
"excellente","10","4","102","EksEl@t°","Ek-sE-l@-t°","4","8","FALSE","FALSE","TRUE"
"exceptionnel","12","4","132","EksEpsjonEl","Ek-sEp-sjo-nEl","4","11","FALSE","FALSE","TRUE"
"exclame","7","2","102","Eksklam°","Ek-skla-m°","3","8","FALSE","FALSE","TRUE"
"excuser","7","2","115","Ekskyze","Ek-sky-ze","3","7","FALSE","FALSE","TRUE"
"exemple","7","4","134","Egz@pl°","Eg-z@-pl°","3","7","FALSE","FALSE","TRUE"
"exercice","8","4","134","EgzERsis°","Eg-zER-si-s°","4","9","FALSE","FALSE","TRUE"
"exercices","9","2","134","EgzERsis°","Eg-zER-si-s°","4","9","FALSE","FALSE","TRUE"
"exister","7","2","134","Egziste","Eg-zis-te","3","7","FALSE","FALSE","TRUE"
"explication","11","2","138","Eksplikasj&","Ek-spli-ka-sj&","4","11","FALSE","FALSE","TRUE"
"explique","8","2","134","Eksplik°","Ek-spli-k°","3","8","FALSE","FALSE","TRUE"
"expliquer","9","2","134","Eksplike","Ek-spli-ke","3","8","FALSE","FALSE","TRUE"
"exploit","7","2","134","Eksplwa","Ek-splwa","2","7","FALSE","FALSE","TRUE"
"exploits","8","2","134","Eksplwa","Ek-splwa","2","7","FALSE","FALSE","TRUE"
"expression","10","2","140","EkspREsj&","Ek-spRE-sj&","3","9","FALSE","FALSE","TRUE"
"extérieur","9","2","135","EksteRj°R","Ek-ste-Rj°R","3","9","FALSE","FALSE","TRUE"
"extrait","7","2","132","EkstRE","Ek-stRE","2","6","FALSE","FALSE","TRUE"
"extraordinaire","14","4","134","EkstRaoRdinER°","Ek-stRa-oR-di-nE-R°","6","14","FALSE","FALSE","TRUE"
"extraordinaires","15","6","135","EkstRaoRdinER°","Ek-stRa-oR-di-nE-R°","6","14","FALSE","FALSE","TRUE"
"ez","2","2","78","e","e","1","1","FALSE","TRUE","FALSE"
"f","1","10","40","Ef","Ef","1","2","TRUE","TRUE","FALSE"
"fa","2","2","40","fa","fa","1","2","FALSE","TRUE","FALSE"
"fabrication","11","2","134","fabRikasj&","fa-bRi-ka-sj&","4","10","FALSE","FALSE","TRUE"
"fabrique","8","2","131","fabRik°","fa-bRi-k°","3","7","FALSE","FALSE","TRUE"
"fabriquer","9","6","83","fabRike","fa-bRi-ke","3","7","FALSE","FALSE","TRUE"
"face","4","2","119","fas°","fa-s°","2","4","FALSE","FALSE","TRUE"
"fâche","5","2","88","faS°","fa-S°","2","4","FALSE","FALSE","TRUE"
"facile","6","14","96","fasil°","fa-si-l°","3","6","FALSE","FALSE","TRUE"
"facilement","10","2","101","fasil°m@","fa-si-l°-m@","4","8","FALSE","FALSE","TRUE"
"façon","5","2","114","fas&","fa-s&","2","4","FALSE","FALSE","TRUE"
"faim","4","6","67","f5","f5","1","2","FALSE","TRUE","TRUE"
"faire","5","46","79","fER°","fE-R°","2","4","FALSE","FALSE","TRUE"
"fais","4","2","126","fE","fE","1","2","FALSE","TRUE","TRUE"
