word,pron,freq
~~~hie,~~~i,2.8899999999999997
~~~hir,~~~iR,10.18
~~~his,~~~i,6.14
~~~hit,~~~hit,3.87
~~~hut,~~y,1.27
~~~jat,~~Za,1.23
~~~jet,~~~jet,51.45
~~~jo,~~~Zo,5.65
~~~jon,~~Z§,3.44
~~~jou,~~Zu,1.63
~~~ka,~~~ka,19.11
~~~kee,~~ki,3.71
~~~ker,~~~kER,3.91
~~~ket,~~~kEt,10.91
~~~kie,~~~ki,3.39
~~~ky,~~~ki,1.7999999999999998
~~~la,~~~la,56.13
~~~lan,~~~l@,3.11
~~~lar,~~laR,13.89
~~~las,~~~las,1.32
~~~len,~~lEn,1.2
~~~ler,~~~ler,795.8599999999999
~~~let,~~~let,48.66
~~~ley,~~~ley,1.78
~~~lez,~~le,562.12
~~~li,~~li,2.37
~~~lie,~~li,1.6600000000000001
~~~lin,~~l5,6.8
~~~lir,~~~liR,1.35
~~~lis,~~li,1.21
~~~lo,~lo,10.82
~~~lon,~~l§,30.77
~~~lot,~~lo,208.65
~~~lou,~~lu,1.45
~~~lu,~~ly,178.98
~~~lue,~~~ly,3.5300000000000002
~~~lut,~~ly,3.81
~~~lué,~~~l8e,4.890000000000001
~~~lye,~~~lye,1.68
~~~là,~~~la,726.44
~~~lé,~~~le,306.21999999999997
~~~lée,~~~le,25.229999999999997
~~~lés,~~~le,11.049999999999999
~~~ma,~~~ma,13.89
~~~mal,~~~mal,138.61
~~~man,~~~man,7.53
~~~mas,~~ma,4.87
~~~mat,~~~ma,8.53
~~~me,~~~m,15.98
~~~mel,~~~mEl,2.6799999999999997
~~~mer,~~~mer,111.41000000000001
~~~mes,~~~m,11.05
~~~met,~~~mE,31.27
~~~mez,~~~me,83.17000000000002
~~~mi,~~~mi,110.86
~~~mie,~~mi,5.28
~~~min,~~m5,114.34
~~~mir,~~~miR,162.29
~~~mis,~~~mi,170.61999999999998
~~~mit,~~~mi,2.94
~~~mo,~~~mo,9.91
~~~mon,~~m§,10.719999999999999
~~~mos,~~~mos,2.34
~~~mot,~~~mo,1.21
