item,ntrials,err,rt,sd,rtz,nused
ilési,24,0.041666666666667,684.130434782609,150.094607845678,-0.615471097265093,23
conritait,23,0,855.95652173913,233.375327483993,0.227180133141612,23
colconté,21,0.047619047619048,809.75,206.773681263254,-0.199061878256106,20
anturais,23,0,750.739130434783,133.921353240456,-0.457478844298338,23
bateme,24,0.333333333333333,1010.0625,188.60062521989,1.0632274777095,16
hutofirreur,25,0.04,844.625,296.05710561074,0.026867353973429,24
surpontinal,22,0,940.772727272727,297.266424003497,0.661007024143325,22
terlendé,22,0.045454545454545,708.380952380952,245.134957970192,-0.584298132310641,21
lipresait,23,0.043478260869565,762.090909090909,189.11596570583,-0.262332067068268,22
renitir,21,0.142857142857143,856.388888888889,217.482423600537,0.159640922572747,18
donsait,22,0,799,267.458594926392,-0.127734853293746,21
donbours,23,0,687.826086956522,187.317341859383,-0.553466422661398,23
lammitentait,23,0.130434782608696,898.631578947368,268.710337750588,0.567575013155585,19
cepané,22,0.045454545454545,698.190476190476,152.34520637277,-0.579100186615159,21
streuille,24,0,772.333333333333,219.941625984214,-0.006374940608814,24
orfurans,23,0.043478260869565,666.5,152.61989822213,-0.531631321900024,22
hieux,23,0.086956521739131,854.380952380952,198.313256286733,0.61276249400716,21
coumoge,24,0,664.375,105.815184453223,-0.587369141120493,24
molsanciment,21,0,796.238095238095,198.828042479401,-0.0546709527931,21
vatourbous,26,0,770.307692307692,229.055760762443,-0.103093255277037,26
moncueiltions,21,0,957.428571428571,248.297718762894,0.615469300022141,21
lidrer,22,0.045454545454545,766.666666666667,214.963097608248,-0.020999745050849,21
galt,24,0,693.695652173913,163.701345244267,-0.457274253581691,23
lilute,22,0.045454545454545,757.952380952381,144.836623887219,-0.101035370190888,21
ciques,22,0,819.5,238.82644625035,0.29591105781262,22
priconse,23,0,815.434782608696,217.246785955294,-0.028093847779475,23
ventéolipés,22,0.090909090909091,875.95,296.989008302717,0.479130794280176,20
procoleson,21,0,851.285714285714,219.54160035336,-0.058269186593097,21
ouletes,22,0,687.090909090909,167.641882791267,-0.462241119136175,22
amerser,24,0.083333333333333,816.045454545455,273.269007054313,0.091252623943576,22
goncle,21,0.095238095238095,824.105263157895,298.126351799748,0.231930157711023,19
chandane,24,0,767.260869565217,155.934781644386,-0.15879358253012,23
auscontison,22,0,792.863636363636,170.418894395837,-0.109033321765315,22
lapale,22,0.090909090909091,826.6,273.035066188248,0.054747397038708,20
amaimasplesant,24,0.041666666666667,796.90909090909,248.664223610668,0.027325393936584,22
jeucher,24,0,802.125,289.12496358014,-0.116222106239852,24
moumenrer,25,0,857.08,274.154293540456,0.221296125141202,25
reconut,23,0.391304347826087,891.23076923077,276.960031366186,0.400945404901806,13
crainvalet,21,0,854.619047619048,229.948358591766,0.145293750223149,21
arreilse,20,0,700.473684210526,169.62552494672,-0.603903069723495,19
sompasales,23,0,784.863636363636,241.596928286714,-0.13334962115512,22
acclairtin,25,0,809.76,249.491028562819,-0.101973979435121,25
forprunsilait,24,0,721,143.047353888653,-0.39030126567912,23
ainfroncer,22,0,771.5,153.474908760512,-0.303250896225954,22
fascrolitait,23,0.086956521739131,760.25,199.296625001133,-0.217724158758743,20
gic,23,0,734.045454545455,98.2613024022354,-0.327420072202785,22
