,word,len,freq,nb,cat
2,aaron,5,10806,4,NN
4,abacus,6,513,0,NN
8,abandonment,11,786,0,NN
10,abasement,9,7,1,NN
14,abbess,6,33,1,NN
15,abbey,5,2286,1,NN
16,abbot,5,616,0,NN
19,abbreviation,12,1908,0,NN
20,abbreviations,13,248,0,NN
22,abdomen,7,1279,0,NN
25,abduction,9,1995,0,NN
26,abe,3,1235,14,NN
28,abel,4,1009,3,NN
31,aberration,10,556,0,NN
32,aberrations,11,299,0,NN
35,abeyance,8,36,0,NN
42,abigail,7,693,0,NN
43,abilities,9,9029,0,NN
44,ability,7,56922,1,NN
50,abnormalities,13,644,0,NN
51,abnormality,11,291,0,NN
54,abode,5,486,3,NN
57,abolition,9,827,0,NN
59,abolitionists,13,100,0,NN
63,aborigine,9,71,0,NN
64,aborigines,10,511,0,NN
66,abortion,8,16764,0,NN
67,abortionist,11,206,0,NN
68,abortions,9,3768,0,NN
78,abraham,7,3824,0,NN
79,abrasion,8,250,0,NN
83,abridgment,10,42,0,NN
89,abruptness,10,23,0,NN
90,abscess,7,96,0,NN
91,abscesses,9,109,0,NN
92,abscissa,8,18,0,NN
94,absence,7,7304,0,NN
95,absences,8,143,0,NN
99,absenteeism,11,78,0,NN
102,absinth,7,8,0,NN
105,absoluteness,12,23,0,NN
106,absolutes,9,587,0,NN
107,absolution,10,140,0,NN
108,absolutism,10,197,0,NN
112,absorbency,10,82,0,NN
114,absorber,8,143,1,NN
117,absorption,10,1735,0,NN
118,absorptions,11,11,0,NN
122,abstention,10,72,0,NN
123,abstinence,10,983,0,NN
127,abstractedness,14,2,0,NN
129,abstraction,11,1596,0,NN
130,abstractionism,14,1,0,NN
131,abstractionists,15,3,0,NN
132,abstractions,12,512,0,NN
135,abstractors,11,0,0,NN
139,absurdities,11,300,0,NN
140,absurdity,9,1084,0,NN
142,abundance,9,1825,0,NN
149,abutment,8,19,0,NN
150,abutments,9,18,0,NN
152,abyss,5,4219,0,NN
153,acacia,6,213,1,NN
156,academicianship,15,1,0,NN
157,academics,9,1817,1,NN
158,academies,9,967,1,NN
159,academy,7,1205,0,NN
160,acadia,6,305,1,NN
161,acapulco,8,180,0,NN
168,acceleration,12,4203,0,NN
169,accelerations,13,169,0,NN
170,accelerator,11,5152,0,NN
171,accelerators,12,1466,0,NN
172,accelerometer,13,70,0,NN
173,accelerometers,14,63,0,NN
174,accent,6,5213,2,NN
177,accents,7,1796,2,NN
184,acceptance,10,8774,0,NN
191,accessions,10,48,0,NN
192,accessories,11,5737,0,NN
193,accessors,9,173,1,NN
194,accessory,9,1342,1,NN
195,accident,8,11152,1,NN
198,accidents,9,4163,0,NN
202,acclamation,11,26,1,NN
205,accolade,8,703,0,NN
206,accolades,9,227,0,NN
211,accommodation,13,2006,0,NN
212,accommodations,14,1434,0,NN
215,accompaniment,13,711,0,NN
216,accompaniments,14,36,0,NN
217,accompanist,11,156,0,NN
218,accompanists,12,73,0,NN
221,accomplice,10,281,0,NN
222,accomplices,11,220,0,NN
227,accomplishment,14,1301,0,NN
228,accomplishments,15,199,0,NN
230,accordance,10,4854,0,NN
234,accordion,9,590,0,NN
240,accountability,14,1478,0,NN
242,accountant,10,1527,0,NN
243,accountants,11,1506,0,NN
248,accreditation,13,561,0,NN
255,acculturation,13,35,0,NN
260,accumulation,12,1206,0,NN
261,accuracy,8,10534,0,NN
265,accusation,10,2176,0,NN
266,accusations,11,3477,0,NN
275,ace,3,6967,15,NN
277,aces,4,1837,10,NN
278,acetate,7,547,0,NN
279,acetone,7,423,0,NN
280,acetylene,9,82,0,NN
286,achievement,11,3925,0,NN
287,achievements,12,2085,0,NN
290,achilles,8,688,0,NN
294,acidity,7,256,3,NN
295,acids,5,2326,0,NN
298,acknowledgement,15,1823,0,NN
301,acknowledgment,14,948,0,NN
302,acknowledgments,15,409,0,NN
303,acme,4,911,3,NN
304,acne,4,536,4,NN
305,acolyte,7,444,0,NN
306,acorn,5,8301,2,NN
307,acorns,6,359,2,NN
311,acoustics,9,124,0,NN
313,acquaintance,12,1275,0,NN
317,acquiescence,12,91,0,NN
323,acquisition,11,5006,0,NN
324,acquisitions,12,1098,0,NN
326,acquisitiveness,15,4,0,NN
328,acquittal,9,249,0,NN
330,acre,4,1554,3,NN
331,acreage,7,231,0,NN
332,acres,5,393,1,NN
335,acrimony,8,89,0,NN
336,acrobat,7,2449,0,NN
338,acrobatics,10,401,1,NN
339,acrobats,8,66,0,NN
340,acronym,7,1966,0,NN
341,acropolis,9,109,0,NN
347,action,6,77756,0,NN
348,actions,7,29726,0,NN
352,activation,10,1918,0,NN
355,activism,8,1558,2,NN
356,activist,8,3525,1,NN
357,activities,10,32765,0,NN
358,activity,8,26484,0,NN
359,actor,5,10471,1,NN
360,actors,6,7249,0,NN
362,actress,7,4996,0,NN
363,actresses,9,1663,0,NN
366,actualities,11,38,0,NN
367,actuality,9,950,0,NN
369,actuary,7,49,0,NN
370,acuity,6,228,0,NN
371,acupuncture,11,525,0,NN
376,ada,3,15432,12,NN
377,adage,5,503,1,NN
383,adaptability,12,229,0,NN
385,adaptation,10,2,0,NN
386,adaptations,11,510,0,NN
388,adapter,7,15074,1,NN
394,addendum,8,134,0,NN
395,adder,5,351,5,NN
396,addict,6,1887,0,NN
398,addiction,9,3437,0,NN
399,addicts,7,1909,0,NN
401,addition,8,46938,1,NN
404,additions,9,9274,1,NN
405,additive,8,903,0,NN
406,additives,9,1265,0,NN
408,address,7,221551,0,NN
410,addressee,9,230,2,NN
411,addressees,10,100,0,NN
412,addresses,9,353,2,NN
416,adele,5,212,1,NN
418,adequacy,8,407,0,NN
423,adherence,9,903,0,NN
425,adherents,9,692,0,NN
427,adhesion,8,377,0,NN
429,adhesives,9,160,0,NN
433,adirondack,10,352,0,NN
434,adirondacks,11,119,0,NN
437,adjective,9,1045,0,NN
438,adjectives,10,618,0,NN
446,adjournment,11,104,0,NN
452,adjudication,12,219,0,NN
453,adjunct,7,746,0,NN
454,adjuncts,8,110,0,NN
460,adjustment,10,4675,0,NN
461,adjustments,11,2653,0,NN
463,adlai,5,168,0,NN
468,administration,14,2966,0,NN
472,administrator,13,23369,0,NN
473,administrators,14,7066,0,NN
476,admiral,7,4919,0,NN
477,admirals,8,250,0,NN
478,admiralty,9,252,0,NN
479,admiration,10,1381,0,NN
482,admirer,7,417,2,NN
483,admirers,8,364,0,NN
488,admission,9,6004,0,NN
489,admissions,10,1744,0,NN
492,admittance,10,329,0,NN
500,admonishments,13,39,0,NN
501,admonition,10,298,0,NN
502,admonitions,11,93,0,NN
503,ado,3,662,9,NN
504,adobe,5,6956,1,NN
505,adolescence,11,788,0,NN
507,adolescents,11,872,0,NN
509,adolf,5,1324,0,NN
510,adonis,6,496,0,NN
514,adoption,8,8651,0,NN
517,adoration,9,432,0,NN
523,adornment,9,241,0,NN
526,adrenalin,9,322,0,NN
527,adrian,6,5332,1,NN
528,adriatic,8,295,0,NN
531,adroitness,10,3,0,NN
532,ads,3,26673,10,NN
535,adulation,9,181,0,NN
540,adulterer,9,89,0,NN
541,adulterers,10,157,1,NN
542,adulteress,10,55,1,NN
544,adultery,8,1228,0,NN
545,adulthood,9,874,0,NN
546,adults,6,11743,0,NN
549,advancement,11,4106,0,NN
550,advancements,12,397,0,NN
556,advantages,10,99,1,NN
557,advent,6,1976,1,NN
559,adventure,9,12865,0,NN
560,adventurers,11,1168,1,NN
561,adventures,10,9517,2,NN
564,adverb,6,149,1,NN
566,adverbs,7,184,1,NN
567,adversaries,11,414,0,NN
568,adversary,9,735,0,NN
571,adversity,9,321,0,NN
572,advert,6,902,2,NN
575,advertisement,13,4858,0,NN
576,advertisements,14,3924,0,NN
577,advertiser,10,1149,2,NN
578,advertisers,11,2489,0,NN
581,advice,6,44488,1,NN
582,advisability,12,59,0,NN
587,advisement,10,79,0,NN
588,adviser,7,1024,3,NN
589,advisers,8,406,1,NN
592,advisor,7,4536,1,NN
593,advisors,8,1334,2,NN
595,advocacy,8,3825,0,NN
600,aegean,6,1582,0,NN
604,aeration,8,204,0,NN
605,aerator,7,58,0,NN
607,aerials,7,63,1,NN
611,aeronaut,8,1,0,NN
613,aeronautics,11,712,0,NN
614,aeroplane,9,218,0,NN
615,aerosol,7,421,0,NN
617,aerosols,8,274,0,NN
618,aerospace,9,3557,0,NN
619,aeschylus,9,80,0,NN
621,aesthetics,10,954,0,NN
624,affair,6,5294,0,NN
625,affairs,7,12423,1,NN
627,affectation,11,102,0,NN
631,affection,9,191,0,NN
634,affections,10,321,0,NN
638,affidavit,9,743,0,NN
639,affidavits,10,366,0,NN
643,affiliation,11,3018,0,NN
644,affiliations,12,1047,0,NN
645,affinities,10,90,0,NN
646,affinity,8,1254,0,NN
648,affirmation,11,868,0,NN
649,affirmations,12,456,0,NN
655,affix,5,179,0,NN
659,affliction,10,392,0,NN
660,afflictions,11,151,0,NN
661,affluence,9,188,0,NN
667,affricate,9,5,0,NN
672,afghanistan,11,1771,0,NN
673,afghans,7,274,1,NN
674,aficionado,10,153,0,NN
682,aforethought,12,62,0,NN
685,africa,6,17142,1,NN
687,africans,8,1565,0,NN
691,afterbirth,10,57,0,NN
692,aftercare,9,111,0,NN
693,aftereffect,11,36,0,NN
694,afterglow,9,180,0,NN
695,afterlife,9,729,0,NN
696,aftermath,9,1044,0,NN
697,afternoon,9,10525,0,NN
698,afternoons,10,820,0,NN
700,aftershave,10,47,0,NN
701,aftertaste,10,144,0,NN
702,afterthought,12,413,0,NN
707,agamemnon,9,170,0,NN
710,agar,4,804,2,NN
711,agatha,6,230,0,NN
715,agencies,8,13501,0,NN
716,agency,6,2287,0,NN
717,agenda,6,9832,0,NN
718,agent,5,22078,1,NN
719,agents,6,14778,0,NN
722,aggie,5,520,1,NN
723,aggies,6,302,0,NN
725,agglomeration,13,62,0,NN
727,agglutination,13,5,0,NN
732,aggravation,11,353,0,NN
734,aggregation,11,316,0,NN
735,aggregations,12,77,0,NN
736,aggression,10,301,0,NN
737,aggressions,11,92,0,NN
740,aggressiveness,14,371,0,NN
741,aggressor,9,634,0,NN
747,agility,7,1228,1,NN
752,agitation,9,806,0,NN
753,agitator,8,214,0,NN
754,agitators,9,78,0,NN
757,agnes,5,629,1,NN
759,agnostics,9,257,0,NN
761,agonies,7,113,0,NN
766,agony,5,2245,1,NN
767,agoraphobia,11,29,1,NN
771,agreeableness,13,4,0,NN
775,agreement,9,23528,0,NN
776,agreements,10,4919,0,NN
781,agriculture,11,5462,0,NN
783,agriculturist,13,1,0,NN
784,agrippa,7,95,0,NN
785,agronomy,8,178,0,NN
790,ahoy,4,192,1,NN
792,aide,4,1575,11,NN
794,aides,5,671,7,NN
798,ailerons,8,156,0,NN
800,ailment,7,287,0,NN
801,ailments,8,575,0,NN
810,airbase,7,130,0,NN
811,airbed,6,0,0,NN
816,aircraft,8,17225,0,NN
818,aircrew,7,126,0,NN
823,airfield,8,498,0,NN
824,airfields,9,201,0,NN
825,airflow,7,417,0,NN
826,airforce,8,376,0,NN
827,airframe,8,440,0,NN
831,airline,7,5136,1,NN
832,airliner,8,341,1,NN
833,airlines,8,6265,2,NN
834,airlock,7,560,0,NN
837,airmen,6,207,1,NN
839,airplane,8,4709,0,NN
840,airplanes,9,1699,0,NN
841,airport,7,11859,0,NN
842,airports,8,1688,0,NN
845,airship,7,448,0,NN
847,airspace,8,744,0,NN
848,airspeed,8,601,0,NN
849,airstrip,8,173,0,NN
850,airstrips,9,47,0,NN
852,airway,6,256,0,NN
853,airways,7,913,0,NN
855,aisle,5,1388,1,NN
858,akron,5,3129,2,NN
859,al,2,70783,15,NN
860,alabama,7,5243,0,NN
862,alabaster,9,1704,0,NN
863,alamo,5,1525,1,NN
864,alamogordo,10,86,0,NN
865,alan,4,33178,7,NN
873,alaska,6,6248,0,NN
874,albacore,8,54,0,NN
875,albania,7,1749,0,NN
877,albanians,9,1808,0,NN
878,albany,6,3284,0,NN
879,albatross,9,535,0,NN
881,albert,6,10552,3,NN
882,albino,6,860,0,NN
883,album,5,39796,0,NN
884,albumin,7,1082,1,NN
885,albums,6,11973,0,NN
886,alchemist,9,525,0,NN
887,alchemy,7,1069,0,NN
888,alcohol,7,14209,0,NN
890,alcoholics,10,993,0,NN
891,alcoholism,10,1023,0,NN
892,alcohols,8,139,0,NN
893,alcove,6,264,0,NN
894,alcoves,7,58,0,NN
895,alderman,8,176,2,NN
896,aldermen,8,11,1,NN
897,ale,3,4919,18,NN
898,alehouse,8,9,0,NN
903,alertness,9,217,0,NN
905,alex,4,18548,7,NN
906,alexander,9,15618,0,NN
908,alexandria,10,4994,0,NN
909,alexei,6,933,0,NN
910,alexis,6,1464,3,NN
912,alfalfa,7,448,0,NN
913,alfonso,7,725,0,NN
914,alfred,6,3504,0,NN
915,alfredo,7,823,0,NN
917,alga,4,66,7,NN
918,algae,5,2276,0,NN
919,algaecide,9,3,0,NN
920,algebra,7,2526,0,NN
923,algeria,7,1251,0,NN
925,algerians,9,84,0,NN
926,algorithm,9,10946,0,NN
928,alibi,5,333,0,NN
929,alibis,6,63,0,NN
930,alice,5,5711,3,NN
931,alicia,6,1099,0,NN
937,alienation,10,462,0,NN
938,aliens,6,11773,1,NN
943,alignment,9,4132,0,NN
944,alignments,10,464,0,NN
947,alimony,7,311,0,NN
949,alkali,6,107,0,NN
951,alkalis,7,6,0,NN
953,allah,5,8033,3,NN
954,allan,5,4935,3,NN
956,allegation,10,1011,0,NN
957,allegations,11,4126,0,NN
961,allegiance,10,1343,0,NN
962,allegiances,11,64,0,NN
966,allegory,8,505,0,NN
970,allen,5,14718,6,NN
972,allergen,8,115,0,NN
974,allergies,9,184,0,NN
975,allergy,7,2765,0,NN
978,alleviation,11,95,0,NN
979,alley,5,3011,4,NN
980,alleys,6,238,2,NN
981,alleyway,8,88,0,NN
982,alleyways,9,63,0,NN
983,alliance,8,9893,0,NN
984,alliances,9,1387,0,NN
988,alligator,9,723,0,NN
990,allison,7,3144,0,NN
993,alliteration,12,109,0,NN
998,allocation,10,4216,0,NN
999,allocations,11,700,0,NN
1001,allopathy,9,55,0,NN
1004,allotment,9,328,0,NN
1005,allotments,10,58,0,NN
1010,allowance,9,1448,0,NN
1011,allowances,10,600,0,NN
1017,allspice,8,107,0,NN
1021,allure,6,247,0,NN
1022,allurement,10,0,0,NN
1024,allusion,8,408,1,NN
1025,allusions,9,378,1,NN
1027,allusiveness,12,0,0,NN
1029,almanac,7,1374,0,NN
1031,almond,6,645,1,NN
1032,almonds,7,452,0,NN
1034,alms,4,134,9,NN
1035,aloe,4,304,3,NN
1036,aloes,5,11,3,NN
1039,aloneness,9,22,0,NN
1043,aloofness,9,84,0,NN
1045,alp,3,513,9,NN
1047,alphabet,8,2867,0,NN
1052,alps,4,805,7,NN
1057,altar,5,3404,2,NN
1058,altarpiece,10,4,0,NN
1060,alteration,10,2475,0,NN
1061,alterations,11,1111,0,NN
1063,altercation,11,147,1,NN
1071,alternation,11,131,1,NN
1074,alternatives,12,8629,0,NN
1075,alternator,10,873,0,NN
1078,altitude,8,373,2,NN
1079,alto,4,5834,3,NN
1081,altruism,8,542,1,NN
1084,alum,4,506,5,NN
1087,alumnae,7,48,0,NN
1088,alumni,6,2572,1,NN
1090,alveoli,7,14,0,NN
1091,alveolus,8,1,0,NN
1096,amalgamation,12,103,0,NN
1101,amateurishness,14,5,0,NN
1102,amateurs,8,1918,0,NN
1106,amazement,9,1163,0,NN
1109,amazon,6,148,0,NN
1111,amazons,7,402,0,NN
1112,ambassador,10,5102,0,NN
1113,ambassadors,11,953,0,NN
1116,ambiance,8,216,1,NN
1118,ambience,8,408,1,NN
1120,ambiguities,11,349,0,NN
1121,ambiguity,9,1279,0,NN
1123,ambition,8,1258,0,NN
1124,ambitions,9,832,1,NN
1127,ambivalence,11,185,0,NN
1132,ambrose,7,141,0,NN
1133,ambrosia,8,486,0,NN
1135,ambulance,9,14,0,NN
1136,ambulances,10,189,0,NN
1138,ambuscade,9,3,0,NN
1150,amendment,9,28203,0,NN
1151,amendments,10,3038,0,NN
1153,amenity,7,34,0,NN
1154,america,7,78729,0,NN
1156,americana,9,640,1,NN
1158,americans,9,3095,2,NN
1160,americas,8,2905,1,NN
1162,amethyst,8,549,0,NN
1167,amide,5,48,2,NN
1170,amino,5,1624,1,NN
1172,amity,5,121,0,NN
1173,ammo,4,5933,0,NN
1174,ammonia,7,1228,0,NN
1175,ammonium,8,511,0,NN
1176,ammunition,10,3018,0,NN
1177,amnesia,7,2567,0,NN
1178,amnesty,7,3521,0,NN
1179,amoeba,6,479,0,NN
1184,amorality,9,60,0,NN
1185,amorist,7,0,0,NN
1189,amortization,12,138,0,NN
1191,amory,5,156,1,NN
1197,amp,3,8909,8,NN
1198,ampere,6,58,0,NN
1199,ampersand,9,230,0,NN
1200,amphetamine,11,321,0,NN
1201,amphetamines,12,233,0,NN
1202,amphibian,9,344,0,NN
1204,amphitheater,12,187,0,NN
1206,amplification,13,758,0,NN
1208,amplifier,9,2898,2,NN
1209,amplifiers,10,1395,0,NN
1212,amplitude,9,1226,0,NN
1216,amputation,10,200,1,NN
1217,amputee,7,196,0,NN
1218,amsterdam,9,5332,0,NN
1220,amulet,6,5056,0,NN
1221,amulets,7,133,0,NN
1225,amusement,9,2171,0,NN
1226,amusements,10,154,0,NN
1229,amy,3,8061,4,NN
1231,anachronism,11,388,0,NN
1232,anachronisms,12,91,0,NN
1234,anaconda,8,164,0,NN
1235,anacondas,9,15,0,NN
1240,anagram,7,717,0,NN
1243,analogies,9,826,1,NN
1245,analogy,7,6964,0,NN
1248,analysis,8,47575,2,NN
1249,analyst,7,1699,1,NN
1250,analysts,8,7803,2,NN
1258,analyzer,8,1606,2,NN
1263,anarchism,9,464,1,NN
1264,anarchist,9,1747,1,NN
1265,anarchy,7,3489,0,NN
1269,anatomy,7,2322,0,NN
1270,ancestor,8,1996,0,NN
1271,ancestors,9,54,0,NN
1273,ancestry,8,1972,0,NN
1275,anchorage,9,1671,0,NN
1278,anchorman,9,42,1,NN
1280,anchovy,7,73,0,NN
1283,ancients,8,2495,0,NN
1288,andersen,8,2144,1,NN
1289,andover,7,615,0,NN
1290,andre,5,5275,0,NN
1291,andrea,6,5085,3,NN
1292,andrew,6,39188,3,NN
1294,andy,4,20181,0,NN
1297,anecdote,8,850,0,NN
1298,anecdotes,9,126,0,NN
1299,anemia,6,880,1,NN
1301,anemone,7,122,0,NN
1302,anesthetic,10,459,0,NN
1304,anesthetics,11,168,0,NN
1307,angel,5,18184,2,NN
1309,angelica,8,281,2,NN
1310,angelina,8,128,1,NN
1311,angelo,6,1061,2,NN
1313,angels,6,7176,3,NN
1317,angie,5,105,3,NN
1319,angler,6,246,3,NN
1322,anglicanism,11,17,0,NN
1323,anglicans,9,113,0,NN
1324,anglicism,9,1,0,NN
1327,anglophile,10,92,0,NN
1328,anglophilia,11,8,0,NN
1329,anglophobe,10,13,0,NN
1330,anglophobia,11,6,0,NN
1331,angola,6,598,1,NN
1332,angora,6,91,1,NN
1336,angst,5,2,0,NN
1337,anguish,7,975,0,NN
1342,animal,6,24745,0,NN
1343,animalism,9,185,0,NN
1344,animals,7,25826,0,NN
1348,animation,9,14638,0,NN
1349,animism,7,34,1,NN
1350,animosity,9,657,0,NN
1351,anion,5,69,4,NN
1353,aniseed,7,12,0,NN
1354,anita,5,1615,1,NN
1355,ankle,5,2699,1,NN
1356,ankles,6,2759,2,NN
1357,anklet,6,29,1,NN
1358,ann,3,13837,6,NN
1359,anna,4,433,3,NN
1360,annals,6,621,1,NN
1361,annapolis,9,108,0,NN
1362,anne,4,10129,4,NN
1364,annex,5,1296,1,NN
1365,annexation,10,429,0,NN
1366,annie,5,2427,2,NN
1368,annihilation,12,784,0,NN
1369,anniversaries,13,319,0,NN
1370,anniversary,11,6164,0,NN
1372,annotation,10,494,0,NN
1375,announcement,12,12319,0,NN
1376,announcements,13,10386,0,NN
1377,announcer,9,1146,2,NN
1378,announcers,10,549,0,NN
1383,annoyance,9,1402,0,NN
1384,annoyances,10,249,0,NN
1391,annuity,7,328,0,NN
1393,annulment,9,102,0,NN
1394,annum,5,411,1,NN
1396,annunciation,12,55,0,NN
1397,anode,5,241,1,NN
1398,anodes,6,32,1,NN
1400,anointment,10,3,0,NN
1401,anomalies,9,1051,0,NN
1403,anomaly,7,201,0,NN
1405,anomie,6,35,1,NN
1407,anonymity,9,2086,0,NN
1409,anorexia,8,351,0,NN
1417,ant,3,2773,11,NN
1418,antacid,7,34,0,NN
1419,antagonism,10,314,1,NN
1420,antagonisms,11,36,1,NN
1421,antagonist,10,357,1,NN
1423,antagonists,11,350,1,NN
1426,antarctica,10,844,0,NN
1427,ante,4,2748,6,NN
1428,anteater,8,71,0,NN
1430,antecedent,10,256,0,NN
1431,antecedents,11,215,0,NN
1432,antechamber,11,20,0,NN
1434,antelope,8,511,0,NN
1435,antenna,7,6646,0,NN
1436,antennae,8,417,1,NN
1437,antennas,8,1768,1,NN
1440,anteroom,8,33,0,NN
1441,anthem,6,133,2,NN
1442,anthems,7,156,1,NN
1443,anthill,7,57,0,NN
1445,anthology,9,2098,0,NN
1446,anthony,7,13191,0,NN
1448,anthrax,7,469,0,NN
1452,anthropologist,14,724,0,NN
1453,anthropologists,15,463,0,NN
1454,anthropology,12,2428,0,NN
1456,anthropomorphism,16,60,0,NN
1459,antibiotics,11,1621,0,NN
1460,antibodies,10,133,0,NN
1461,antibody,8,1101,0,NN
1467,anticipation,12,2742,0,NN
1468,anticipations,13,22,0,NN
1471,anticlimax,10,25,0,NN
1472,anticoagulation,15,5,0,NN
1473,antics,6,990,1,NN
1474,antidote,8,404,0,NN
1475,antietam,8,132,0,NN
1476,antifreeze,10,244,0,NN
1478,antigua,7,427,0,NN
1479,antihero,8,29,0,NN
1480,antihistamine,13,156,0,NN
1481,antimatter,10,707,0,NN
1482,antipathy,9,166,0,NN
1484,antiquary,9,2,0,NN
1488,antiques,8,1089,0,NN
1489,antiquities,11,5607,0,NN
1490,antiquity,9,966,0,NN
1492,antiserum,9,8,0,NN
1497,antithesis,10,392,1,NN
1498,antithyroid,11,2,0,NN
1499,antitoxin,9,36,0,NN
1501,antler,6,85,2,NN
1502,antoine,7,1009,0,NN
1504,antoinette,10,396,0,NN
1505,antonio,7,7646,0,NN
1506,antonym,7,73,0,NN
1507,ants,4,4321,7,NN
1508,anus,4,2067,4,NN
1509,anvil,5,894,0,NN
1510,anxieties,9,319,0,NN
1511,anxiety,7,2664,0,NN
1515,anybody,7,69155,0,NN
1519,anyone,6,398422,1,NN
1522,anything,8,214704,0,NN
1526,aorta,5,3177,1,NN
1527,apache,6,136,0,NN
1528,apaches,7,97,0,NN
1530,apartheid,9,631,0,NN
1531,apartment,9,8965,0,NN
1532,apartments,10,1368,0,NN
1534,apathy,6,1017,0,NN
1536,aperitif,8,13,0,NN
1537,aperture,8,1826,0,NN
1538,apex,4,1099,3,NN
1539,aphasia,7,56,1,NN
1540,aphid,5,57,1,NN
1541,aphorism,8,108,0,NN
1543,aphrodite,9,213,0,NN
1544,apiary,6,22,1,NN
1545,apiculture,10,17,0,NN
1547,apocalypse,10,2208,0,NN
1549,apogee,6,207,0,NN
1550,apollo,6,3978,0,NN
1555,apologies,9,7763,1,NN
1556,apologist,9,535,0,NN
1559,apology,7,4124,0,NN
1560,apoplexy,8,42,0,NN
1561,apostle,7,1235,0,NN
1562,apostles,8,1446,0,NN
1564,apostrophe,10,456,0,NN
1565,apothecary,10,35,0,NN
1568,appalachians,12,96,0,NN
1572,apparatus,9,2531,0,NN
1573,apparel,7,578,0,NN
1575,apparency,9,38,0,NN
1578,apparition,10,300,0,NN
1584,appearance,10,12998,0,NN
1585,appearances,11,3373,0,NN
1591,appeasement,11,206,0,NN
1596,appendage,9,220,0,NN
1597,appendages,10,194,0,NN
1598,appendectomy,12,48,0,NN
1600,appendicitis,12,72,0,NN
1601,appendix,8,6192,0,NN
1602,appendixes,10,48,1,NN
1603,appetite,8,1813,0,NN
1604,appetites,9,269,0,NN
1605,appetizer,9,184,0,NN
1610,applause,8,3313,0,NN
1611,apple,5,65844,2,NN
1612,apples,6,3982,0,NN
1613,appliance,9,816,0,NN
1614,appliances,10,1171,0,NN
1616,applicant,9,3858,0,NN
1617,applicants,10,897,0,NN
1618,application,11,87255,0,NN
1619,applications,12,86618,0,NN
1620,applicator,10,90,0,NN
1627,appointee,9,230,1,NN
1628,appointees,10,362,0,NN
1630,appointment,11,4706,0,NN
1631,appointments,12,1578,0,NN
1635,apportionment,13,83,0,NN
1636,apportionments,14,1,0,NN
1637,appraisal,9,772,0,NN
1638,appraisals,10,248,0,NN
1641,appraisers,10,98,0,NN
1650,appreciation,12,4328,0,NN
1651,appreciations,13,33,0,NN
1656,apprehension,12,550,0,NN
1657,apprehensions,13,96,0,NN
1662,apprentices,11,238,1,NN
1663,apprenticeship,14,304,0,NN
1671,approbation,11,74,0,NN
1675,appropriateness,15,654,0,NN
1678,appropriation,13,507,0,NN
1679,appropriations,14,1034,0,NN
1680,approval,8,10239,0,NN
1689,approximation,13,2162,0,NN
1690,approximations,14,525,0,NN
1691,apricot,7,286,0,NN
1692,april,5,36958,0,NN
1693,apron,5,540,2,NN
1694,aprons,6,76,0,NN
1696,apse,4,13,1,NN
1698,aptitude,8,624,2,NN
1699,aptitudes,9,107,2,NN
1701,aptness,7,13,0,NN
1702,aqualung,8,66,0,NN
1704,aquanaut,8,51,0,NN
1705,aquaplane,9,0,0,NN
1706,aquarium,8,2949,1,NN
1709,aqueduct,8,60,0,NN
1710,aqueducts,9,17,0,NN
1712,aquinas,7,359,0,NN
1715,arabesque,9,68,0,NN
1716,arabia,6,2526,1,NN
1718,arabians,8,1086,0,NN
1720,arabs,5,3587,3,NN
1721,arachnid,8,159,0,NN
1722,arbiter,7,519,0,NN
1727,arbitration,11,162,0,NN
1728,arbitrator,10,234,0,NN
1729,arbor,5,3762,2,NN
1731,arboretum,9,544,0,NN
1733,arcade,6,7861,1,NN
1734,arcades,7,2565,1,NN
1735,arcadia,7,798,0,NN
1739,archaeologist,13,2132,0,NN
1740,archaeologists,14,481,0,NN
1741,archaeology,11,1462,0,NN
1743,archaism,8,21,0,NN
1744,archangel,9,623,0,NN
1745,archangels,10,101,0,NN
1746,archbishop,10,569,0,NN
1747,archdeacon,10,26,0,NN
1748,archdiocese,11,87,0,NN
1749,archduke,8,106,0,NN
1751,archenemy,9,25,0,NN
1753,archer,6,4894,2,NN
1754,archery,7,974,1,NN
1756,archetype,9,326,0,NN
1757,archimedes,10,1487,0,NN
1759,archipelago,11,205,0,NN
1760,architect,9,3893,0,NN
1762,architects,10,179,0,NN
1766,architecture,12,18428,0,NN
1767,architectures,13,3801,0,NN
1768,archives,8,23186,0,NN
1770,archway,7,90,0,NN
1775,ardor,5,120,2,NN
1778,area,4,16043,3,NN
1779,areas,5,59101,2,NN
1781,arena,5,10812,1,NN
1782,arenas,6,1077,1,NN
1784,ares,4,502,13,NN
1785,argentina,9,4841,1,NN
1786,argentine,9,532,1,NN
1789,argonaut,8,156,0,NN
1790,argonauts,9,133,0,NN
1796,argument,8,49353,0,NN
1797,argumentation,13,549,0,NN
1799,arguments,9,22915,0,NN
1800,aria,4,1039,5,NN
1801,ariadne,7,206,0,NN
1802,arianism,8,36,1,NN
1806,aries,5,1107,7,NN
1812,aristocracy,11,393,0,NN
1813,aristocrat,10,122,0,NN
1816,aristocrats,11,164,0,NN
1818,aristotle,9,944,0,NN
1820,arithmetic,10,329,0,NN
1823,arizona,7,11955,0,NN
1824,ark,3,289,8,NN
1825,arkansas,8,5485,0,NN
1826,arlene,6,690,0,NN
1828,arlington,9,3937,1,NN
1830,armada,6,1147,1,NN
1832,armadillo,9,290,0,NN
