"","x"
"1","&"
"2","@"
"3","°"
"4","2"
"5","5"
"6","a"
"7","b"
"8","d"
"9","e"
"10","f"
"11","g"
"12","i"
"13","j"
"14","k"
"15","l"
"16","m"
"17","n"
"18","N"
"19","o"
"20","p"
"21","R"
"22","s"
"23","S"
"24","t"
"25","u"
"26","v"
"27","w"
"28","y"
"29","z"
"30","Z"
"31","#"
"32","!"
