"","x"
"1","a"
"2","b"
"3","c"
"4","ç"
"5","d"
"6","e"
"7","é"
"8","è"
"9","ê"
"10","ë"
"11","f"
"12","g"
"13","h"
"14","i"
"15","î"
"16","ï"
"17","j"
"18","k"
"19","l"
"20","m"
"21","n"
"22","o"
"23","p"
"24","q"
"25","r"
"26","s"
"27","t"
"28","u"
"29","v"
"30","w"
"31","x"
"32","y"
"33","z"
"34","#"
